"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2017-12-31,206607864,206607864,1,10289000000,1975000000,7558000000,1938000000,2731000000,0,0,7472000000,4897000000,1516000000,546000000,546000000,2.62,2.57,0,None,None,None,0,325000000,79000000,126.87,133.36,120.38,0.5036,0.125,13.22,11.25,30.14,0,0,1.7931,0.2654,0.2188,0.57,None,1.0191
2017-09-30,208399394,208399394,1,10199000000,1870000000,7849000000,1850000000,2350000000,0,0,7500000000,5018000000,1400000000,232000000,232000000,1.1,1.08,0,324000000,-381000000,83000000,26000000,325000000,72000000,124.66,129.61,119.7,0.3771,0.0931,11.28,10.97,30.48,0,0,2.1353,0.2304,0.1631,0.57,1.21,1.0108
2017-06-30,210465540,210465540,1,9685000000,1632000000,7294000000,1707000000,2391000000,0,0,7242000000,4646000000,1386000000,221000000,221000000,1.05,1.02,0,228000000,-40000000,-197000000,-9000000,299000000,60000000,121.03,127.1,114.95,0.3615,0.0926,11.36,10.61,30.18,0,0,1.9431,0.2469,0.1604,0.58,0.8,0.9561
2017-03-31,212377981,212377981,1,9696000000,1615000000,7272000000,1790000000,2424000000,0,0,7270000000,4547000000,1394000000,247000000,247000000,1.15,1.13,0,463000000,-154000000,-301000000,8000000,308000000,76000000,111.41,118.3,104.51,0.3491,0.092,11.41,9.41,26.85,0,0,1.8758,0.25,0.1595,0.58,1.82,0.9022
2016-12-31,214563950,214563950,1,9743000000,1728000000,7202000000,1820000000,2541000000,0,0,7206000000,4467000000,1431000000,215000000,215000000,0.99,0.98,0,389000000,-68000000,-324000000,-3000000,300000000,67000000,100.96,109.11,92.81,0.3565,0.0967,11.84,8.53,25.3,0,0,1.758,0.2608,0.1689,0.57,1.5,0.9495
2016-09-30,217057326,217057326,1,9637000000,1600000000,7068000000,1548000000,2569000000,0,0,7243000000,4624000000,1380000000,214000000,214000000,0.98,0.96,0,355000000,-78000000,-237000000,40000000,303000000,78000000,104.62,111.51,97.73,0.3426,0.095,11.84,8.7,26.49,0,0,1.7999,0.2666,0.1661,0.57,1.28,1.0336
2016-06-30,219815160,219815160,1,9530000000,1486000000,6888000000,1452000000,2642000000,0,0,7273000000,4548000000,1363000000,212000000,212000000,0.95,0.94,0,178000000,-71000000,-127000000,-20000000,263000000,73000000,102.59,108.85,96.34,0.3346,0.0961,12.02,8.5,28.98,0,0,1.7214,0.2772,0.1689,0.57,0.48,1.0234
2016-03-31,222329901,222329901,1,9552000000,1476000000,6868000000,1542000000,2684000000,0,0,7289000000,4445000000,1331000000,289000000,289000000,1.3,1.27,0,509000000,-337000000,-164000000,8000000,283000000,72000000,94.25,102.88,85.63,0.2899,0.0869,12.07,7.9,31.42,0,0,1.6561,0.281,0.155,0.56,1.97,0.9572
2015-12-31,222937301,222937301,1,9340000000,1506000000,6680000000,1502000000,2660000000,0,0,7072000000,4288000000,1368000000,189000000,189000000,0.81,0.82,0,391000000,-64000000,-361000000,-34000000,275000000,67000000,91.59,97.76,85.41,0.2395,0.0756,11.93,7.3,31.47,0,0,1.612,0.2848,0.1355,0.56,1.45,1.0027
2015-09-30,228538696,228538696,1,9387000000,1531000000,6518000000,1411000000,2869000000,0,0,7107000000,4230000000,1313000000,218000000,218000000,0.94,0.92,0,355000000,-93000000,-483000000,-221000000,309000000,89000000,84.25,90.54,77.96,0.2248,0.0748,12.55,6.29,28.66,0,0,1.4744,0.3056,0.1353,0.55,1.16,1.085
