"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2017-12-30,126493599,126493599,1,6526647000,1814166000,1705569000,384518000,4821078000,0,0,2173889000,1088730000,845739000,-33082000,-33082000,-0.26,-0.26,0,270068000,-31124000,27003000,266458000,841681000,45439000,72.87,81.2,64.53,0.0058,0.0043,38.11,1.89,None,0,0,0.2258,0.7387,0.0095,0.45,1.78,4.718
2017-09-30,127148094,127148094,1,6478080000,1608208000,1573504000,423002000,4904576000,0,0,3303925000,989692000,821583000,35919000,35919000,0.28,0.27,0,219858000,-97855000,-60237000,62276000,575223000,67791000,71.01,79.34,62.68,-0.0036,-0.0027,38.57,1.84,None,0,None,0.2018,0.7571,None,0.45,1.2,3.8019
2017-07-01,127267751,127267751,1,6442696000,1467216000,1530015000,361918000,4912681000,0,0,3439765000,989420000,640831000,-30624000,-30624000,-0.24,-0.24,0,103636000,-117392000,-19826000,-32832000,512631000,124428000,71.01,79.34,62.68,-0.0084,-0.0063,38.6,1.84,None,0,None,0.2014,0.7625,None,0.45,-0.16,4.054
2017-04-01,127097218,127097218,1,6522323000,1461605000,1625601000,418828000,4896722000,0,0,3574477000,989154000,642992000,55908000,55908000,0.44,0.45,0,247071000,-167102000,-30570000,49652000,545463000,165747000,60.91,69.71,52.12,-0.0034,-0.0025,38.53,1.58,None,0,None,0.202,0.7508,None,0.46,0.64,3.4897
2016-12-31,126452577,126452577,1,6624911000,1487917000,1761795000,548596000,4863116000,0,0,3755012000,988886000,826347000,-78638000,-78638000,-0.62,-0.62,0,220362000,-136407000,-56043000,26592000,495811000,136536000,53.7,59.12,48.28,-0.0195,-0.0145,38.46,1.38,None,0,None,0.2033,0.7341,None,0.45,0.66,2.7122
2016-10-01,127727701,127727701,1,6751622000,1582536000,1775246000,557445000,4976376000,0,0,4098076000,988625000,864698000,11847000,11847000,0.09,0.09,0,249998000,-111977000,-102187000,36185000,469219000,119996000,57.63,64.8,50.45,-0.0057,-0.0043,38.96,1.46,None,0,None,0.1987,0.7371,None,0.41,1.02,2.8389
2016-07-02,127896371,127896371,1,6687987000,1485420000,1654411000,420333000,5033576000,0,0,4217576000,988372000,698537000,-5675000,-5675000,-0.04,-0.04,0,59389000,-75001000,23154000,7153000,433034000,130423000,51.05,58.3,43.79,-0.0069,None,39.36,1.3,None,0,None,0.1964,0.7526,None,0.39,-0.56,3.5339
2016-04-02,127530673,127530673,1,6596819000,1509210000,1597147000,373801000,4999672000,0,0,3948212000,988130000,608069000,-24202000,-24202000,-0.17,-0.17,0,159694000,-96284000,-489550000,-425716000,425881000,84285000,42.63,51.95,33.3,-0.0052,None,39.2,1.06,None,0,None,0.1976,0.7579,None,0.39,0.59,4.0375
2016-01-02,137104675,137104675,1,7011110000,1843717000,1517038000,300685000,5494072000,0,0,4063063000,987888000,620681000,-11127000,-11127000,-0.08,-0.08,0,218006000,-207962000,672616000,682000000,851597000,61055000,51.34,60,42.67,None,None,40.07,1.27,None,0,None,0.1798,0.7836,None,None,1.14,6.1317
2015-10-03,141341120,141341120,1,6532097000,1275982000,819999000,355474000,5712098000,0,0,4190925000,75000000,708335000,4448000,4448000,0.03,0.03,0,168795000,100669000,-425445000,-156005000,169597000,80176000,62.25,82.25,42.24,None,None,40.41,1.51,None,0,None,0.0131,0.8745,None,None,0.63,3.5895
2015-06-27,149530863,149530863,1,6909870000,1579986000,731679000,335496000,6178191000,0,0,4320786000,0,673641000,2036000,2036000,0.01,0.01,0,141432000,-75137000,-40473000,25788000,325602000,89255000,76.89,88.35,65.44,None,None,41.32,1.86,None,0,None,0,0.8941,None,None,0.35,4.7094
2015-03-28,149433822,149433822,1,6892379000,1500105000,719219000,325310000,6173160000,0,0,4447815000,0,259500000,None,None,None,None,0,None,None,None,None,299814000,0,74.33,85.63,63.02,None,None,41.31,None,None,0,None,0,0.8957,None,None,None,4.6113
