"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2018-02-03,627072378,627072378,1,14058015000,8485727000,8909706000,5125537000,5148309000,0,0,100069000,2452524000,10960720000,877276000,877276000,1.4,1.38,0.31,1096201000,-213353000,-561478000,394233000,2758477000,230088000,73.95,81.46,66.44,0.5523,0.1945,8.21,10.06,19.99,6.93,0.3036,0.4764,0.3662,0.0727,2.67,1.38,1.6556
2017-10-28,632302505,632302505,1,13877695000,8390034000,9232087000,5467981000,4645608000,0,0,196365000,2229855000,8762220000,641436000,641436000,1.01,1,0.3125,826377000,-346567000,-524123000,-85061000,2364244000,320667000,71.63,74.38,68.89,0.5279,0.1837,7.35,10.03,20.29,6.62,0.3177,0.48,0.3348,0.0701,2.62,0.8,1.5344
2017-07-29,636274241,636274241,1,12935615000,7567781000,8394811000,4656533000,4540804000,0,0,197522000,2229103000,8357700000,552957000,552957000,0.87,0.85,0.3125,654612000,-251059000,-727631000,-220190000,2449305000,248347000,73.79,80.92,66.66,0.5168,0.1801,7.14,10.42,20.96,6.3,0.3182,0.4909,0.351,0.0683,2.64,0.64,1.6252
2017-04-29,643276269,643276269,1,12763481000,7548500000,8209958000,4605392000,4553523000,0,0,195585000,2228351000,7784024000,536279000,536279000,0.83,0.82,0.3125,448434000,-201757000,-484114000,-260354000,2669495000,258515000,76.61,79.97,73.25,0.5214,0.1854,7.08,10.96,22.14,5.99,0.3048,0.4894,0.3568,0.0696,2.66,0.3,1.6391
2017-01-28,645589872,645589872,1,12883808000,7750774000,8373209000,4757656000,4510599000,0,0,195871000,2403831000,9467647000,677928000,677928000,1.05,1.03,0.26,1514600000,-343596000,-630172000,554317000,2929849000,257550000,75.65,79.79,71.5,0.5157,0.1871,6.99,11.39,22.18,5.68,0.2959,0.5329,0.3501,0.0693,2.7,1.95,1.6291
2016-10-29,651900739,651900739,1,12866836000,7942334000,8537025000,4894514000,4329811000,0,0,343826000,2226913000,8291688000,549786000,549786000,0.84,0.83,0.26,928675000,-303706000,-3882000,571884000,2375532000,258762000,78.08,83.64,72.51,0.519,0.1916,6.64,11.52,22.7,5.42,0.2848,0.5143,0.3365,0.07,2.74,1.03,1.6227
2016-07-30,656644919,656644919,1,11670653000,6810674000,7219297000,4314205000,4451356000,0,0,344848000,1615952000,7882053000,562174000,562174000,0.85,0.84,0.26,738351000,-278435000,-548366000,-140507000,1803648000,242199000,77.16,81.88,72.43,0.5269,0.1984,6.78,11.25,22.69,5.16,0.2678,0.363,0.3814,0.0723,2.74,0.76,1.5787
2016-04-30,661083496,661083496,1,11704722000,6877701000,7169753000,4296735000,4534969000,0,0,346452000,1615477000,7542356000,508346000,508346000,0.77,0.76,0.26,420268000,-289141000,-379492000,-151318000,1944155000,266236000,73.01,79.2,66.82,0.5293,0.1987,6.86,11.23,21.92,4.9,0.2567,0.3562,0.3874,0.0731,2.72,0.23,1.6007
2016-01-30,662591204,662591204,1,11499482000,6772560000,7192407000,4402230000,4307075000,0,0,343796000,1709268000,8962075000,666466000,666466000,0.99,0.98,0.21,1280779000,-214277000,-611328000,372137000,2095473000,238713000,69.09,74.65,63.53,0.529,0.1972,6.5,10.63,21.06,4.64,0.2477,0.3969,0.3745,0.0736,2.68,1.57,1.5384
2015-10-31,669529129,669529129,1,11992433000,7348157000,7641972000,4730078000,4350461000,0,0,342058000,1624007000,7753495000,587256000,587256000,0.88,0.86,0.21,727984000,-378005000,-532533000,-187434000,1723336000,245792000,72.09,76.93,67.25,0.526,0.1972,6.5,11.37,22.05,4.43,0.2426,0.3733,0.3628,0.0746,2.64,0.72,1.5535
2015-08-01,674370829,674370829,1,11341042000,6796837000,7064975000,4160861000,4276067000,0,0,308539000,1623959000,7363731000,549335000,549335000,0.81,0.8,0.21,481041000,-228362000,-557395000,-349195000,1910770000,203641000,67.41,70.52,64.3,0.5271,0.1996,6.34,10.68,21.07,4.22,0.2329,0.3798,0.377,0.0758,2.63,0.41,1.6335
2015-05-02,680385015,680385015,1,11365946000,6872089000,7075656000,4136536000,4290290000,0,0,309311000,1623912000,6865637000,474601000,474601000,0.7,0.69,0.21,447539000,-242471000,-474599000,-233810000,2259965000,201234000,67.34,71.03,63.66,0.5198,0.1987,6.31,10.79,21.38,4.01,0.2271,0.3785,0.3775,0.0759,2.62,0.36,1.6613
2015-01-31,683473567,683473567,1,11128381000,6715061000,6864151000,3929634000,4264230000,0,0,202200000,1684597000,8303953000,648230000,648230000,0.94,0.93,0.18,1196032000,-260816000,-468958000,340150000,2493775000,205623000,64.77,69.84,59.69,0.5153,0.201,6.24,10.2,21.45,3.8,0.22,0.3951,0.3832,0.0762,2.64,1.45,1.7088
2014-11-01,688900341,688900341,1,11592048000,7154622000,7218240000,4389582000,4373808000,0,0,310738000,1623817000,7366066000,594957000,594957000,0.86,0.85,0.175,736353000,-282851000,-437022000,-29705000,2153625000,280784000,58.48,64.2,52.76,0.5009,0.1993,6.35,9.48,19.3,3.62,0.2187,0.3713,0.3773,0.0752,2.65,0.66,1.6299
2014-08-02,692941647,692941647,1,10921997000,6593763000,6647345000,3824929000,4274652000,0,0,311443000,1623769000,6917212000,517624000,517624000,0.75,0.73,0.175,602235000,-255910000,-224727000,124034000,2183330000,231754000,55.93,59.95,51.91,0.5149,0.2062,6.17,9.14,18.9,3.44,0.2079,0.3799,0.3914,0.0772,2.67,0.53,1.7239
2014-05-03,700312077,700312077,1,10429938000,6235550000,6146444000,3705260000,4283494000,0,0,312074000,1274245000,6491176000,454317000,454317000,0.65,0.64,0.175,473749000,-155060000,-428835000,-90450000,2059296000,193361000,59.09,62.37,55.82,0.5189,0.2075,6.12,9.83,20.1,3.27,0.2034,0.2975,0.4107,0.0771,2.69,0.4,1.6829
2014-02-01,703683274,703683274,1,10201022000,6067998000,5971129000,3517843000,4229893000,0,0,205000000,1274216000,7808787000,582292000,582292000,0.82,0.8,0.15,956957000,-250834000,-525483000,138994000,2149746000,187395000,60.42,64.38,56.47,0.5355,0.2104,6.01,10.42,20.41,3.09,0.195,0.3012,0.4147,0.0779,2.7,1.09,1.7249
2013-11-02,711198843,711198843,1,10669239000,6623575000,6545468000,4043741000,4123771000,0,0,313465000,1274186000,6981876000,622655000,622655000,0.88,0.86,0.145,822093000,-283672000,-396258000,151954000,2010752000,262269000,55.8,61.29,50.31,0.5609,0.2163,5.8,10.37,20.51,2.94,0.1809,0.309,0.3865,0.079,2.74,0.79,1.638
2013-08-03,715235621,715235621,1,9926043000,5950244000,6075904000,3442881000,3850139000,0,0,314113000,1274156000,6442424000,479559000,479559000,0.67,0.66,0.145,530530000,-259558000,-381170000,-131037000,1858798000,258499000,51.39,54.08,48.71,0.5422,0.2079,5.38,9.83,19.61,2.8,0.1859,0.3309,0.3879,0.0747,2.78,0.38,1.7283
2013-05-04,719773253,719773253,1,9840364000,5976143000,6077699000,3498617000,3762665000,0,0,312948000,1274126000,6189609000,452890000,452890000,0.63,0.62,0.145,280749000,-241567000,159108000,177878000,1989835000,238515000,46.57,49.71,43.43,0.5433,0.2089,5.23,9.2,18.26,2.65,0.1817,0.3386,0.3824,0.0739,2.83,0.06,1.7081
2013-02-02,723902001,723902001,1,9511855000,5711543000,5845918000,3760596000,3665937000,0,0,208600000,774552000,7723814000,604844000,604844000,0.84,0.82,0.11,965651000,-428698000,-372912000,170042000,1811957000,209666000,42.86,45.64,40.08,0.5505,0.2129,5.06,9.02,18.24,2.51,0.1748,0.2113,0.3854,0.0737,2.89,1.04,1.5188
2012-10-27,729252705,729252705,1,9172089000,5694665000,5705697000,3598991000,3466392000,0,0,179946000,774533000,6410913000,461551000,461551000,0.63,0.62,0.115,772223000,-327120000,-435804000,21513000,1641915000,329649000,43.53,46.67,40.38,0.5306,0.2055,4.75,9.44,19.26,2.4,0.1806,0.2234,0.3779,0.0715,2.88,0.61,1.5823
2012-07-28,736100493,736100493,1,8636641000,5340790000,5246624000,3225489000,3390017000,0,0,179932000,774514000,5945559000,421092000,421092000,0.57,0.56,0.115,603182000,-189475000,-335046000,56711000,1620402000,184652000,42.42,45.39,39.46,0.5253,0.2029,4.61,9.43,19.73,2.28,0.1793,0.2285,0.3925,0.071,2.86,0.57,1.6558
2012-04-28,740952103,740952103,1,8503079000,5231816000,5171266000,3151716000,3331813000,0,0,179983000,783862000,5798086000,419200000,419200000,0.56,0.55,0.115,704558000,-331555000,-331825000,56579000,1563691000,254261000,37.98,42.56,33.41,0.5142,0.1975,4.5,8.83,19.63,2.17,0.1797,0.2353,0.3918,0.0694,2.85,0.61,1.66
2012-01-28,746702028,746702028,1,8281605000,5132632000,5072315000,3063423000,3209290000,0,0,179935000,984623000,6709758000,475314000,475314000,0.64,0.62,0.09,1085204000,-165886000,-355185000,550180000,1507112000,152558000,31.41,34.22,28.6,0.4742,0.1819,4.3,7.44,18.1,2.05,0.1902,0.3068,0.3875,0.0645,2.82,1.25,1.6755
2011-10-29,377140120,754280240,2,8530980000,5418051000,5347652000,3379500000,3183328000,0,0,179958000,785369000,5793128000,406487000,406487000,1.08,1.06,0.19,505109000,-204043000,-309511000,-20831000,956932000,211555000,27.86,30.64,25.07,0.4333,0.1664,4.22,6.85,16.73,1.96,0.2036,0.2467,0.3731,0.0594,2.8,0.39,1.6032
2011-07-30,380980395,761960790,2,8097126000,5029069000,4992137000,3191344000,3104989000,0,0,180043000,786100000,5468274000,348338000,348338000,0.91,0.9,0.19,182627000,-210728000,-370803000,-399383000,977763000,213164000,26.5,28.39,24.6,0.4248,0.1639,4.07,6.56,16.72,1.87,0.1995,0.2532,0.3835,0.0586,2.8,-0.04,1.5758
2011-04-30,386107203,772214406,2,7984470000,5008421000,4861076000,3101855000,3123394000,0,0,180068000,786816000,5220295000,265951000,265951000,0.69,0.67,0.19,143094000,-230384000,-300213000,-364605000,1377146000,226053000,25.24,27,23.48,0.4153,0.1606,4.04,6.34,15.3,1.77,0.1967,0.2519,0.3912,0.0577,2.78,-0.11,1.6147
2011-01-29,389657340,779314680,2,7971763000,5099527000,4871864000,3133121000,3099899000,0,0,179936000,987517000,6331726000,334414000,334414000,0.85,0.84,0.15,877289000,-113922000,-368816000,402686000,1741751000,166783000,22.82,24.38,21.27,0.4396,0.17,3.98,5.81,13.42,1.68,0.178,0.3186,0.3889,0.0612,2.78,0.91,1.6276
