"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2017-12-31,263388482,263388482,1,114991000000,None,111506000000,None,3454000000,31000000,0,810000000,105012000000,585000000,-84000000,-84000000,-0.32,-0.32,0.16,243000000,2424000000,-2397000000,270000000,1518000000,0,13.29,15.1,11.48,0.0824,0.0025,13.11,0.99,7.34,2.36,0.5948,30.403,0.03,0.1322,0.02,0.92,None
2017-09-30,263012203,263012203,1,117085000000,None,113535000000,None,3526000000,24000000,0,727000000,108557000000,618000000,176000000,176000000,0.65,0.64,0.16,289000000,3194000000,-3388000000,95000000,1248000000,0,15.01,16.93,13.09,0.1446,0.0044,13.41,1.16,7.9,2.2,0.3418,30.7876,0.0301,0.2341,0.02,1.1,None
2017-06-30,274104268,274104268,1,120354000000,None,116790000000,None,3540000000,24000000,0,658000000,110778000000,513000000,112000000,112000000,0.4,0.39,0.16,275000000,-1133000000,647000000,-211000000,1153000000,0,15.16,16.97,13.36,0.1576,0.0047,12.91,1.18,8.02,2.04,0.3209,31.2932,0.0294,0.2467,0.02,1,None
2017-03-31,284941056,284941056,1,117890000000,None,114218000000,None,3648000000,24000000,0,664000000,109586000000,492000000,88000000,88000000,0.31,0.3,0.16,350000000,3011000000,-3250000000,111000000,1364000000,0,15.36,17.05,13.67,0.1596,0.0048,12.8,1.21,7.25,1.88,0.3255,30.04,0.0309,0.2481,0.02,1.23,None
2016-12-31,291008528,291008528,1,121136000000,None,117413000000,None,3699000000,24000000,0,670000000,112368000000,603000000,145000000,145000000,0.49,0.48,0.16,243000000,2913000000,-3726000000,-570000000,1253000000,0,15.3,17.95,12.66,0.1828,0.0054,12.71,1.25,6.27,1.72,0.2917,30.3779,0.0305,0.2698,0.02,0.84,None
2016-09-30,303098470,303098470,1,125312000000,None,121578000000,None,3710000000,24000000,0,683000000,116540000000,723000000,230000000,230000000,0.74,0.73,0.16,343000000,3111000000,-3008000000,446000000,1823000000,0,13.18,14.82,11.53,0.2166,0.0063,12.24,1.14,5.63,1.56,0.185,31.4124,0.0296,0.3013,0.02,1.13,None
2016-06-30,317033006,317033006,1,128372000000,None,124669000000,None,3679000000,24000000,0,696000000,119637000000,552000000,125000000,125000000,0.39,0.38,0.16,429000000,3202000000,-3422000000,209000000,1377000000,0,12.5,13.99,11.01,0.216,0.0062,11.6,1.08,5.14,1.4,0.1949,32.5189,0.0287,0.3027,0.02,1.35,None
2016-03-31,330513819,330513819,1,131377000000,None,127538000000,None,3815000000,24000000,0,702000000,122920000000,646000000,181000000,181000000,0.53,0.53,0.16,342000000,2185000000,-2953000000,-426000000,1168000000,0,10.4,12.6,8.2,0.2272,0.0065,11.54,0.9,3.97,1.24,0.1927,32.2202,0.029,0.3017,0.02,1.03,None
2015-12-31,342817020,342817020,1,134112000000,None,130113000000,None,3975000000,24000000,0,705000000,124833000000,807000000,286000000,286000000,0.82,0.8,0,451000000,3337000000,-3499000000,289000000,1594000000,0,12.27,13.93,10.62,0.2512,0.0072,11.6,1.14,4.99,1.08,0.1806,31.4045,0.0296,0.3192,0.02,1.32,None
2015-09-30,362308654,362308654,1,137666000000,None,133779000000,None,3883000000,4000000,0,544000000,128293000000,734000000,237000000,237000000,0.64,0.63,0.16,404000000,2049000000,-2762000000,-309000000,1305000000,0,14.97,19,10.95,0.2425,0.0069,10.72,1.43,5.59,1.08,0.2462,33.0397,0.0282,0.3143,0.02,1.12,None
2015-06-30,374032762,374032762,1,140220000000,None,136287000000,None,3929000000,4000000,0,546000000,130387000000,750000000,182000000,182000000,0.48,0.47,0.16,556000000,2560000000,-3553000000,-437000000,1614000000,0,19.52,20.95,18.09,0.2683,None,10.5,1.86,6.68,0.92,0.2221,33.1858,0.028,0.3345,0.02,1.49,None
2015-03-31,389021445,389021445,1,143872000000,None,139781000000,None,4087000000,4000000,0,549000000,132330000000,832000000,292000000,292000000,0.73,0.72,0.16,499000000,2740000000,-2631000000,608000000,2051000000,0,19.79,22.41,17.16,0.2967,None,10.51,1.89,7.36,0.76,0.2022,32.3783,0.0284,0.3519,0.02,1.28,None
2014-12-31,401460484,401460484,1,146352000000,None,142154000000,None,4198000000,0,0,369000000,136866000000,789000000,264000000,265000000,0.65,0.64,0.15,49000000,-6536000000,5988000000,-499000000,1443000000,0,19.84,22.71,16.98,None,None,10.46,1.96,None,0.6,0.217,32.6027,0.0287,None,None,0.12,None
2014-09-30,410219225,410219225,1,140345000000,None,136189000000,None,4156000000,0,0,371000000,127669000000,912000000,359000000,359000000,0.87,0.85,0.15,502000000,1655000000,-1851000000,306000000,1942000000,0,17.52,18.28,16.76,None,None,10.13,1.83,None,0.45,None,30.7192,0.0296,None,None,1.22,None
2014-06-30,419438459,419438459,1,142976000000,None,138955000000,None,4021000000,0,0,373000000,131919000000,937000000,307000000,305000000,0.72,0.71,0.15,555000000,2236000000,-4897000000,-2106000000,1636000000,0,16.74,17.98,15.5,None,None,9.59,1.27,None,0.3,None,32.8075,0.0281,None,None,1.32,None
2014-03-31,422739239,422739239,1,156472000000,None,150874000000,None,5593000000,5000000,0,421000000,136177000000,936000000,219000000,214000000,0.5,0.49,0.15,558000000,992000000,-2998000000,-1448000000,3742000000,0,None,None,None,None,None,13.23,None,None,0.15,None,24.3478,0.0357,None,None,1.32,None
