"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2018-03-03,1067392353,1067392353,1,8989327000,4735291000,7388317000,3464065000,1601010000,0,0,2602006000,3921261000,715442000,767072000,767072000,0.73,0.74,0,-95812000,3262244000,-2888898000,277534000,447334000,107494000,2.13,2.55,1.71,None,0.0872,1.5,2.77,14.2,2.3,0,2.4492,0.1781,0.0438,1.99,-0.19,1.367
2017-12-02,1067509844,1067509844,1,11340614000,5929445000,10515470000,6905915000,825144000,0,0,2919395000,3017354000,5353170000,81031000,81031000,0.08,0.08,0,64325000,163539000,-297042000,-69178000,169800000,188500000,2.09,2.8,1.38,0.2272,0.0135,0.77,3.03,26.12,2.3,0,3.6568,0.0728,0.0053,2.56,-0.12,0.8586
2017-09-02,1063959987,1063959987,1,11498308000,5181369000,10764698000,2981211000,733610000,0,0,3210055000,7120439000,7678903000,170716000,170716000,0.16,0.16,0,205097000,-54304000,-126264000,24529000,238978000,-4410000,3.21,4.21,2.21,0.1397,0.0077,0.69,6.06,None,2.3,0,9.706,0.0638,0.0028,2.78,0.2,1.738
2017-06-03,1053291998,1053291998,1,11460138000,4977567000,10899510000,3008695000,560628000,0,0,3291417000,7217807000,7781453000,-75349000,-75349000,-0.07,-0.07,0,92734000,-58196000,-65499000,-30961000,214449000,137944000,4.41,5.49,3.32,-0.1095,-0.0058,0.53,7.6,None,2.3,None,12.8745,0.0489,None,2.8,-0.04,1.6544
2017-03-04,1053663926,1053663926,1,11593752000,5065288000,10979682000,3005248000,614070000,0,0,2551274000,7307358000,8541360000,-21142000,-21142000,-0.02,-0.02,0,60410000,-91883000,56855000,25382000,245410000,197036000,6.97,8.7,5.25,0.0066,0.0004,0.58,11.43,87.13,2.3,0,11.8999,0.053,0.0001,2.85,-0.13,1.6855
2016-11-26,1052367228,1052367228,1,11658926000,5017168000,11012799000,3071538000,646127000,0,0,2600699000,7252229000,8089726000,15010000,15010000,0.01,0.01,0,152587000,-124622000,55970000,83935000,220028000,256012000,7.32,8.21,6.43,0.1491,0.0079,0.61,12.41,56.31,2.3,0,11.2242,0.0554,0.0028,2.84,-0.1,1.6334
2016-08-27,1052134264,1052134264,1,11610969000,4938516000,10994300000,3051946000,616669000,0,0,2636827000,7220297000,8029806000,14773000,14773000,0.01,0.01,0,-147078000,-128384000,266715000,-8747000,136093000,264258000,7.33,7.84,6.82,0.2364,0.0118,0.59,13.09,52.36,2.3,0,11.7085,0.0531,0.0041,2.85,-0.39,1.6182
2016-05-28,1048962007,1048962007,1,11254947000,4555185000,10663443000,2979769000,591504000,0,0,2678184000,6948762000,8184181000,-4588000,-4588000,0,0,0,159944000,-119370000,-20205000,20369000,144840000,244916000,7.91,8.19,7.63,0.2701,0.0123,0.56,14.38,49.44,2.3,0,11.7476,0.0526,0.0044,2.79,-0.08,1.5287
2016-02-27,1048406901,1048406901,1,11277010000,4550727000,10695582000,2996895000,581428000,0,0,2717854000,6967288000,8270136000,65617000,65617000,0.06,0.06,0,327865000,-120228000,-309418000,-101781000,124471000,279358000,7.77,7.96,7.58,0.3976,0.0145,0.55,16.19,4.13,2.3,0,11.9831,0.0516,0.0054,2.7,0.05,1.5185
2015-11-28,1046463323,1046463323,1,11718080000,4805167000,11217252000,3162997000,500828000,0,0,2760852000,7338345000,8154184000,59543000,59543000,0.06,0.06,0,327965000,-192995000,-61365000,73605000,226252000,393610000,7.31,8.74,5.88,None,0.1796,0.48,17.83,3.81,2.3,0,14.6524,0.0427,0.066,2.72,-0.06,1.5192
2015-08-29,1046265328,1046265328,1,11979231000,5087134000,11549528000,3384580000,429703000,0,0,2759358000,7415311000,7664776000,21469000,21469000,0.02,0.02,0,-26263000,-1936143000,192924000,-1769482000,152647000,474960000,8.22,9.47,6.97,None,0.2054,0.41,54.8,4.05,2.3,0,17.2568,0.0359,0.0711,2.89,-0.48,1.503
2015-05-30,1014924539,1014924539,1,10529774000,5830847000,10377043000,2404967000,152731000,0,0,479209000,7199832000,6647561000,18836000,18836000,0.02,0.02,0,367835000,-152492000,1590887000,1806230000,1922129000,155330000,8.14,9.07,7.22,None,0.2489,0.15,135.67,3.97,2.3,0,47.1406,0.0145,0.0781,3.19,0.21,2.4245
2015-02-28,989140531,989140531,1,8863252000,4221758000,8806196000,2485000000,57056000,0,0,497604000,5544567000,6847929000,1835032000,1835032000,1.88,1.78,0,175000000,-129904000,-162151000,-117055000,115899000,134839000,6.87,8.34,5.39,None,0.2816,0.06,None,20.21,2.3,0,97.1776,0.0064,0.0795,3.54,0.04,1.6989
2014-11-29,981826569,981826569,1,7185986000,4359967000,8978644000,2464674000,-1792658000,0,0,496539000,5739074000,6692333000,104846000,104846000,0.11,0.1,0,111728000,-166434000,101902000,47196000,232954000,170891000,5.57,6.64,4.51,None,0.047,-1.83,None,19.89,2.3,0,None,None,0.0125,3.75,-0.06,1.769
2014-08-30,981430837,981430837,1,6959344000,4194027000,8865869000,2410976000,-1906525000,0,0,484398000,5639216000,6522584000,127849000,127849000,0.13,0.13,0,122483000,-119986000,17258000,19755000,185758000,119728000,7.24,8.5,5.98,None,0.0423,-1.94,None,40.22,2.3,0,None,None,0.0103,3.71,0,1.7396
2014-05-31,979895316,979895316,1,6946517000,4198536000,8992871000,2555531000,-2046354000,0,0,504478000,5591568000,6465531000,41446000,41446000,0.04,0.04,0,239748000,-177361000,-42790000,19597000,166003000,113928000,7.21,8.38,6.05,None,0.0285,-2.09,None,31.35,2.3,0,None,None,0.0066,3.65,0.13,1.6429
2014-03-01,971797750,971797750,1,6944871000,4285125000,9058573000,2507452000,-2113702000,0,0,431227000,5707969000,6597459000,55377000,55377000,0.05,0.07,0,194128000,-78084000,-152850000,-36806000,146406000,101349000,5.87,6.74,4.99,None,0.0354,-2.18,None,20.96,2.3,0,None,None,0.0084,3.62,0.1,1.709
2013-11-30,966525581,966525581,1,7138167000,4446253000,9366992000,2565084000,-2228825000,0,0,438281000,5904673000,6357732000,71548000,43105000,0.05,0.04,0,244006000,-94026000,-110935000,39045000,183212000,113373000,4.69,5.92,3.46,None,0.0448,-2.31,None,15.13,2.3,0,None,None,0.011,3.58,0.14,1.7334
