"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2018-03-31,1187386825,1187386825,1,42322000000,34742000000,27681000000,25714000000,14641000000,0,0,4476000000,0,3685000000,511000000,511000000,0.43,0.42,0,-349000000,5000000,793000000,442000000,8727000000,178000000,78.97,86.32,71.63,0.1259,0.0492,12.33,5.92,53.72,0,0,0,0.3459,0.1392,0.35,-0.44,1.3511
2017-12-31,1200160405,1200160405,1,40774000000,32645000000,24780000000,22863000000,15994000000,0,0,4507000000,0,3744000000,620000000,620000000,0.51,0.5,0,-147000000,-958000000,1657000000,553000000,2883000000,180000000,71.54,79.39,63.69,0.1176,0.0487,13.33,5.57,55.89,0,0,0,0.3923,0.1371,0.36,-0.27,1.4279
2017-09-30,1201910314,1201910314,1,37761000000,29437000000,22329000000,20703000000,15432000000,0,0,4552000000,800000000,3239000000,380000000,380000000,0.32,0.31,0,1006000000,-1398000000,1439000000,1059000000,2330000000,165000000,59.03,65.24,52.83,0.1047,0.0448,12.84,4.73,47.6,0,0,0.0518,0.4087,0.1269,0.35,0.7,1.4219
2017-06-30,1202397024,1202397024,1,35290000000,27035000000,20292000000,18641000000,14998000000,0,0,4205000000,0,3136000000,411000000,411000000,0.34,0.34,0,921000000,-1944000000,1042000000,31000000,1271000000,174000000,48.6,55.14,42.06,0.1031,0.0453,12.47,3.99,41.54,0,0,0,0.425,0.1282,0.35,0.62,1.4503
2017-03-31,1201258479,1201258479,1,33493000000,25425000000,18867000000,17286000000,14626000000,0,0,4244000000,0,2975000000,384000000,384000000,0.32,0.32,0,751000000,-1058000000,-54000000,-350000000,1240000000,148000000,41.41,43.8,39.02,0.099,0.0442,12.18,3.4,36.01,0,0,0,0.4367,0.126,0.35,0.5,1.4708
2016-12-31,1207583234,1207583234,1,33103000000,25733000000,18391000000,16878000000,14712000000,0,0,4270000000,0,2981000000,390000000,390000000,0.32,0.31,0,923000000,-1829000000,1143000000,221000000,1590000000,152000000,41.29,44.52,38.06,0.0995,0.045,12.18,3.51,None,0,0,0,0.4444,0.1292,0.35,0.64,1.5246
2016-09-30,1206645916,1206645916,1,31356000000,24161000000,17164000000,15616000000,14192000000,0,0,4313000000,0,2667000000,323000000,323000000,0.27,0.27,0,801000000,-1689000000,238000000,-649000000,1369000000,183000000,38.51,41.3,35.72,None,None,11.76,3.36,None,0,None,0,0.4526,None,None,0.51,1.5472
2016-06-30,1206918019,1206918019,1,30631000000,23457000000,16814000000,15223000000,13817000000,0,0,4350000000,0,2650000000,323000000,323000000,0.27,0.27,0,696000000,-1806000000,544000000,-565000000,2018000000,201000000,37.75,41.49,34,None,None,11.45,3.36,None,0,None,0,0.4511,None,None,0.41,1.5409
2016-03-31,1212026663,1212026663,1,29470000000,21968000000,15872000000,14362000000,13598000000,0,0,4391000000,0,2544000000,365000000,365000000,0.3,0.3,0,738000000,325000000,113000000,1190000000,2583000000,133000000,36.13,41.75,30.52,None,None,11.22,3.21,None,0,None,0,0.4614,None,None,0.5,1.5296
2015-12-31,1222675902,1222675902,1,28881000000,20648000000,15122000000,13617000000,13759000000,0,0,4427000000,0,None,None,None,None,None,0,728000000,-1257000000,45000000,-487000000,1393000000,164000000,34.64,38.52,30.75,None,None,11.25,3.2,None,0,None,0,0.4764,None,None,0.46,1.5163
2015-09-30,1221690060,1221690060,1,27896000000,20554000000,14682000000,13072000000,13214000000,0,0,3589000000,0,2258000000,301000000,301000000,0.25,0.25,0,652000000,-1380000000,62000000,-682000000,1880000000,118000000,36.27,42.55,30,None,None,10.82,3.47,None,0,None,0,0.4737,None,None,0.44,1.5724
2015-06-30,1218735605,1218735605,1,26911000000,19713000000,14171000000,12584000000,12740000000,0,0,3595000000,0,2297000000,305000000,305000000,0.25,0.25,0,None,None,None,None,2562000000,0,None,None,None,None,None,10.45,None,None,0,None,0,0.4734,None,None,None,1.5665
