"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2017-12-31,389682983,389682983,1,137217000000,None,112619000000,None,24598000000,0,0,0,5289000000,5424000000,2583000000,2583000000,6.59,6.53,0.45,1532000000,-2544000000,-452000000,-1436000000,3491000000,0,85.61,89.81,81.41,0.2083,0.034,63.12,1.53,12.43,17.31,0.1488,0.215,0.1793,0.2125,0.16,3.93,None
2017-09-30,393149620,393149620,1,136083000000,None,114106000000,None,21977000000,0,0,0,5248000000,5506000000,716000000,716000000,1.81,1.8,0.43,1431000000,-370000000,-382000000,663000000,4927000000,0,80.56,84.51,76.62,0.1315,0.0207,55.9,1.48,12.17,16.86,0.2461,0.2388,0.1615,0.1249,0.17,3.64,None
2017-06-30,395229099,395229099,1,135394000000,None,113891000000,None,21503000000,0,0,0,5252000000,5428000000,713000000,713000000,1.8,1.79,0.43,1408000000,-990000000,-355000000,59000000,4264000000,0,75.97,79.86,72.08,0.1262,0.0198,54.41,1.48,12.35,16.43,0.2535,0.2442,0.1588,0.1198,0.17,3.56,None
2017-03-31,396846578,396846578,1,133650000000,None,113310000000,None,20340000000,0,0,0,5250000000,5309000000,592000000,592000000,1.48,1.47,0.43,1757000000,-1527000000,-876000000,-654000000,4205000000,0,69.91,73.33,66.5,0.117,0.0184,51.25,1.37,10.89,16,0.2692,0.2581,0.1522,0.1124,0.16,4.43,None
2016-12-31,401426860,401426860,1,129819000000,None,109337000000,None,20482000000,0,0,0,5360000000,5955000000,751000000,751000000,1.84,1.83,0.43,1867000000,-1217000000,-784000000,-411000000,4859000000,0,70.72,73.95,67.5,0.1239,0.0196,51.02,1.27,11.24,15.57,0.2548,0.2617,0.1578,0.1179,0.17,4.65,None
2016-09-30,408102088,408102088,1,144101000000,None,121316000000,None,22785000000,0,0,0,5765000000,5716000000,629000000,629000000,1.54,1.53,0.41,1266000000,-209000000,446000000,1570000000,5270000000,0,72.76,74.5,71.02,0.127,0.0199,55.83,1.32,11.97,15.14,0.2567,0.253,0.1581,0.1203,0.17,3.1,None
2016-06-30,409575251,409575251,1,141287000000,None,118737000000,None,22550000000,0,0,0,5009000000,5437000000,548000000,548000000,1.33,1.32,0.41,1523000000,-942000000,-515000000,251000000,3700000000,0,67.38,72.17,62.59,0.1329,0.0204,55.06,1.39,11.08,14.73,0.2625,0.2221,0.1596,0.1212,0.17,3.72,None
2016-03-31,413987033,413987033,1,127766000000,None,107745000000,None,20021000000,0,0,0,4984000000,5451000000,731000000,731000000,1.75,1.74,0.41,1331000000,-1487000000,-766000000,-901000000,3449000000,0,59.45,64.33,54.57,0.1445,0.0217,48.36,1.41,10.16,14.32,0.26,0.2489,0.1567,0.1233,0.18,3.22,None
2015-12-31,420001378,420001378,1,118296000000,None,100588000000,None,17708000000,0,0,0,0,5319000000,730000000,730000000,1.71,1.7,0.41,2006000000,-814000000,-361000000,830000000,4350000000,0,61.66,66.53,56.78,0.1435,0.0214,42.16,1.53,10.8,13.91,0.2668,0,0.1497,0.1214,0.18,4.78,None
2015-09-30,426738679,426738679,1,117455000000,None,100200000000,None,17255000000,0,0,0,0,5040000000,567000000,567000000,1.32,1.32,0.39,1667000000,-517000000,-739000000,417000000,3520000000,0,58.2,64.99,51.41,0.1407,0.0211,40.43,1.47,9.78,13.5,0.2693,0,0.1469,0.119,0.18,3.91,None
2015-06-30,430694102,430694102,1,115581000000,None,98563000000,None,17018000000,0,0,0,0,5287000000,573000000,573000000,1.33,1.32,0.39,1643000000,-1488000000,-1409000000,-1260000000,3103000000,0,63.21,65.1,61.32,0.1472,0.0219,39.51,1.47,9.86,13.11,0.2552,0,0.1472,0.1215,0.18,3.81,None
2015-03-31,433884327,433884327,1,121401000000,None,102764000000,None,18637000000,0,0,0,0,5226000000,663000000,663000000,1.52,1.51,0.39,1460000000,-2078000000,322000000,-295000000,4363000000,0,60.52,64.62,56.41,0.1592,0.0232,42.95,1.45,9.31,12.72,0.2341,0,0.1535,0.1292,0.18,3.36,None
2014-12-31,438903157,438903157,1,119767000000,None,101420000000,None,18347000000,0,0,0,0,5514000000,703000000,703000000,1.58,1.56,0.39,1973000000,-97000000,175000000,1992000000,4658000000,0,58.73,62.46,54.99,0.17,0.0237,41.8,1.48,9.18,12.33,0.2282,0,0.1532,0.1298,0.18,4.5,None
2014-09-30,450586603,450586603,1,127253000000,None,109400000000,None,17853000000,0,0,0,0,5736000000,706000000,706000000,1.56,1.56,0.37,1445000000,-550000000,-523000000,414000000,2666000000,0,60.95,64.2,57.7,0.1779,0.0234,39.62,1.57,9.61,11.94,0.2296,0,0.1403,0.127,0.18,3.21,None
2014-06-30,453045872,453045872,1,127871000000,None,110313000000,None,17558000000,0,0,0,0,5838000000,810000000,810000000,1.79,1.78,0.37,1517000000,-1471000000,233000000,258000000,2252000000,0,62.53,64.47,60.6,0.1868,0.0237,38.76,1.81,9.68,11.57,0.2287,0,0.1373,0.126,0.19,3.35,None
2014-03-31,454144039,454144039,1,123292000000,None,107616000000,None,15676000000,0,0,0,0,5640000000,732000000,732000000,1.61,1.6,0.37,1615000000,-2123000000,-32000000,-549000000,1994000000,0,63.57,66.69,60.45,0.2045,0.0249,34.52,1.98,9.4,11.2,0.221,0,0.1271,0.1283,0.19,3.56,None
2013-12-31,455815182,455815182,1,121307000000,None,106687000000,None,14620000000,0,0,0,0,5801000000,675000000,675000000,1.47,1.46,0.37,3388000000,-3570000000,3000000,-206000000,2543000000,0,64.79,67.62,61.96,0.2159,0.0264,32.07,2.06,9.91,10.83,0.2083,0,0.1205,0.1319,0.2,7.43,None
2013-09-30,466090298,466090298,1,119918000000,None,105260000000,None,14658000000,0,0,0,0,5886000000,702000000,702000000,1.51,1.5,0.35,1461000000,-1711000000,607000000,361000000,2749000000,0,59.86,63.63,56.08,0.2047,0.0251,31.45,2.03,8.31,10.46,0.2131,0,0.1222,0.125,0.2,3.13,None
