"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2018-03-31,178533259,178533259,1,25170000000,10976000000,17582000000,10890000000,7503000000,85000000,0,6814000000,5176000000,13194000000,340000000,340000000,1.95,1.91,0,1846000000,-764000000,513000000,1595000000,5684000000,218000000,105.02,112.42,97.61,0.1504,0.0453,42.03,2.66,22.39,0,0,0.6899,0.2981,0.0206,2.19,9.12,1.0079
2017-12-31,173495595,173495595,1,21855000000,8703000000,14979000000,9332000000,6850000000,26000000,0,6147000000,4699000000,12806000000,230000000,230000000,1.33,1.3,0,450000000,-579000000,-79000000,-209000000,4072000000,121000000,94.11,104.65,83.56,0.1277,0.038,39.48,2.45,19.4,0,0,0.686,0.3134,0.0171,2.22,1.9,0.9326
2017-09-30,172566531,172566531,1,22000000000,9660000000,15327000000,9709000000,6640000000,33000000,0,6140000000,4721000000,11898000000,205000000,205000000,1.19,1.16,0,97000000,-200000000,-42000000,-145000000,4281000000,120000000,88.89,98.72,79.06,0.1382,0.0404,38.48,2.4,19.67,0,0,0.711,0.3018,0.0182,2.22,-0.13,0.995
2017-06-30,172475653,172475653,1,21840000000,9648000000,15312000000,8966000000,6378000000,150000000,0,6178000000,4720000000,11954000000,254000000,254000000,1.47,1.44,0,-306000000,-157000000,49000000,-414000000,4425000000,98000000,77.5,85.8,69.2,0.1335,0.0387,36.98,2.2,19.14,0,0,0.74,0.292,0.0173,2.24,-2.34,1.0761
2017-03-31,172277703,172277703,1,21362000000,9408000000,15140000000,9202000000,6070000000,152000000,0,6216000000,4647000000,11724000000,139000000,139000000,0.81,0.79,0,1248000000,-329000000,-10000000,909000000,4839000000,83000000,64.62,73.23,56,0.1238,0.0356,35.23,1.89,20.71,0,0,0.7656,0.2841,0.0158,2.25,6.76,1.0224
2016-12-31,172028161,172028161,1,20197000000,8365000000,14143000000,8623000000,5895000000,159000000,0,6257000000,4655000000,11911000000,265000000,265000000,1.55,1.46,0,1596000000,-765000000,119000000,948000000,3930000000,95000000,58.7,67.41,50,0.1002,0.0288,34.27,1.76,23.02,0,0,0.7897,0.2919,0.0138,2.08,8.73,0.9701
2016-09-30,170892049,170892049,1,19634000000,7755000000,13762000000,9023000000,5710000000,162000000,0,6296000000,4589000000,10846000000,145000000,145000000,0.85,0.83,0,480000000,-313000000,104000000,271000000,2982000000,117000000,69.47,75.57,63.37,0.0873,0.0251,33.41,2.15,28.01,0,0,0.8037,0.2908,0.0117,2.15,2.12,0.8595
2016-06-30,170736886,170736886,1,19496000000,7853000000,13809000000,8814000000,5529000000,158000000,0,6316000000,4494000000,10897000000,169000000,169000000,0.99,0.97,0,-420000000,-483000000,177000000,-726000000,2710000000,49000000,63.56,71.53,55.6,0.0947,0.027,32.38,2.05,28.5,0,0,0.8128,0.2836,0.0119,2.27,-2.75,0.891
2016-03-31,170473015,170473015,1,18652000000,7551000000,13199000000,7871000000,5297000000,156000000,0,6088000000,4280000000,6953000000,-17000000,-17000000,-0.14,-0.14,0,195000000,-836000000,2317000000,1676000000,3436000000,45000000,57.89,68.42,47.36,0.0961,0.0273,31.07,3.27,20.1,0,0,0.808,0.284,0.0112,2.44,0.88,0.9593
2015-12-31,121654923,121654923,1,7339000000,3605000000,5015000000,3629000000,2157000000,167000000,0,997000000,1221000000,6302000000,111000000,111000000,0.93,0.89,0,201000000,-44000000,-62000000,95000000,1760000000,49000000,59.64,67.53,51.75,0.1778,0.05,17.73,3.47,20.85,0,0,0.5661,0.2939,0.0156,3.21,1.25,0.9934
