"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2018-03-31,287688839,287688839,1,3029600000,2060300000,857600000,403000000,2172000000,0,0,0,391900000,1185800000,174300000,174300000,0.61,0.61,0.37,159700000,-28900000,-112600000,20200000,137100000,28800000,55.03,58.73,51.33,0.2986,0.2116,7.55,7.55,27.38,9.64,0.6184,0.1804,0.7169,0.1366,1.55,0.46,5.1124
2017-12-31,287603912,287603912,1,2910500000,1935700000,813600000,351000000,2096900000,0,0,0,412000000,1088500000,152400000,152400000,0.53,0.53,0.32,129300000,-41100000,-106000000,-16500000,116900000,36000000,48.98,55.45,42.51,0.2859,0.2021,7.29,6.95,26.05,9.27,0.6373,0.1965,0.7205,0.1318,1.53,0.32,5.5148
2017-09-30,287390374,287390374,1,2901600000,1930200000,875300000,360400000,2026300000,0,0,0,432000000,1132800000,143100000,143100000,0.5,0.5,0.32,162600000,-28500000,-117700000,18300000,133400000,23700000,43.2,46.6,39.79,0.2728,0.1931,7.05,6.24,23.74,8.95,0.6718,0.2132,0.6983,0.1273,1.52,0.48,5.3557
2017-06-30,287978174,287978174,1,2851400000,1872900000,859900000,342300000,1991500000,0,0,0,436200000,1121500000,148900000,148900000,0.52,0.52,0.32,82900000,-34600000,-68800000,-19200000,115100000,33700000,47.3,52.74,41.87,0.2686,0.1902,6.92,6.91,27.03,8.63,0.6825,0.219,0.6984,0.1271,1.5,0.17,5.4715
2017-03-31,289263924,289263924,1,2786400000,1810700000,804700000,369600000,1981700000,0,0,0,354100000,1047700000,134200000,134200000,0.46,0.46,0.32,210400000,-75100000,-114700000,21600000,134300000,19100000,49.37,52.64,46.1,0.2639,0.1865,6.85,7.39,28.54,8.31,0.6951,0.1787,0.7112,0.1261,1.48,0.66,4.8991
2016-12-31,289247424,289247424,1,2668884000,1720770000,735790000,275644000,1933094000,0,0,0,379518000,947947000,114805000,114805000,0.4,0.4,0.3,132681000,-30492000,-132048000,-34248000,112735000,25548000,43.66,49.17,38.16,0.2652,0.186,6.68,6.61,25.38,7.99,0.6944,0.1963,0.7243,0.1261,1.48,0.37,6.2427
2016-09-30,289032074,289032074,1,2730468000,1777662000,821170000,331065000,1909298000,0,0,0,432390000,1013122000,126925000,126925000,0.44,0.44,0.3,133265000,-71660000,-69088000,-8475000,146983000,71663000,42.64,45.36,39.92,0.2684,0.1873,6.61,6.6,24.37,7.69,0.6863,0.2265,0.6993,0.1261,1.48,0.21,5.3695
2016-06-30,288965949,288965949,1,2699136000,1790906000,830974000,411182000,1868162000,0,0,0,362390000,1014287000,131521000,131521000,0.45,0.45,0.3,86691000,-57009000,-24380000,4906000,155458000,57003000,45.81,48.93,42.7,0.2783,0.1952,6.46,7.26,25.74,7.39,0.6623,0.194,0.6921,0.1292,1.51,0.1,4.3555
2016-03-31,288883249,288883249,1,2642781000,1767180000,820905000,401673000,1821876000,0,0,0,362390000,986680000,126227000,126227000,0.44,0.44,0.3,161362000,-28932000,-115356000,21533000,150552000,28732000,43.2,49.87,36.53,0.2873,0.2029,6.31,6.91,24.41,7.09,0.6404,0.1989,0.6894,0.132,1.54,0.46,4.3995
2015-12-31,288403782,288403782,1,2532462000,1664776000,731173000,373166000,1801289000,0,0,0,302950000,922793000,111904000,111904000,0.39,0.39,0.28,144955000,-67779000,-54135000,17244000,129019000,32461000,38.57,41.64,35.5,0.2864,0.2079,6.25,6.26,21.79,6.79,0.6302,0.1682,0.7113,0.1335,1.56,0.39,4.4612
2015-09-30,289695174,289695174,1,2495277000,1672990000,711786000,368280000,1783491000,0,0,0,273490000,995250000,136494000,136494000,0.47,0.47,0.28,140831000,-28920000,-116452000,-9391000,111775000,28858000,39.48,42.82,36.13,0.2855,0.2143,6.16,6.49,22.56,6.51,0.6094,0.1533,0.7147,0.135,1.59,0.39,4.5427
2015-06-30,290165109,290165109,1,2480932000,1663373000,716948000,396576000,1763984000,0,0,0,250425000,997827000,140357000,140357000,0.48,0.48,0.28,81049000,-41646000,-39796000,376000,121166000,41649000,41.71,43.41,40.01,0.2793,0.2157,6.08,6.58,24.39,6.23,0.5997,0.142,0.711,0.1347,1.6,0.14,4.1943
2015-03-31,293955044,293955044,1,2423937000,1628947000,561124000,492363000,1862813000,0,0,0,0,953317000,127606000,127606000,0.43,0.43,0.28,180105000,-42282000,-127180000,6294000,120790000,42259000,43.61,47.4,39.82,0.2702,0.2161,6.34,6.74,26.27,5.95,0.5974,0,0.7685,0.1338,1.61,0.47,3.3084
2014-12-31,295880219,295880219,1,2359102000,1583265000,443885000,375353000,1915217000,0,0,0,0,926254000,118391000,118391000,0.4,0.39,0.25,166450000,-49816000,-114450000,-1833000,114496000,44262000,44.5,48.21,40.78,0.2641,0.2153,6.47,6.94,27.81,5.67,0.5999,0,0.8118,0.1324,1.63,0.41,4.2181
2014-09-30,296440794,296440794,1,2372995000,1619405000,471422000,407903000,1901573000,0,0,0,0,980814000,133314000,133314000,0.45,0.45,0.25,110013000,-44054000,-54713000,10389000,116329000,44553000,46.91,50.08,43.74,0.2588,0.2136,6.41,7.46,30.26,5.42,0.6246,0,0.8013,0.1312,1.63,0.22,3.9701
2014-06-30,296770069,296770069,1,2282973000,1555782000,414849000,351463000,1868124000,0,0,0,0,949938000,130514000,130514000,0.44,0.44,0.25,79631000,-63421000,280000,16919000,105940000,63330000,49.5,51.2,47.8,0.2565,0.2148,6.29,8.15,32.57,5.17,0.6436,0,0.8183,0.1318,1.63,0.05,4.4266
