"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2018-03-31,437107546,437107546,1,14533700000,1578700000,5942600000,573300000,8593600000,-2500000,0,14200000,4987300000,417000000,-140100000,-140100000,-0.32,-0.32,0.01,39500000,-228200000,206500000,20000000,465400000,269300000,5.81,7.53,4.1,-0.0497,-0.0296,19.66,0.29,None,11.12,None,0.5804,0.5913,None,0.13,-0.53,2.7537
2017-12-31,436009156,436009156,1,14625900000,1612000000,5895900000,758500000,8732100000,-2100000,0,15700000,4750700000,454200000,-207100000,-207100000,-0.46,-0.46,0.01,39800000,-304200000,-14100000,-279000000,445400000,59800000,5.59,6.42,4.76,-0.0365,-0.0217,20.03,0.3,None,11.11,None,0.5441,0.597,None,0.13,-0.05,2.1252
2017-09-30,436019178,436019178,1,13682900000,2461500000,5515600000,488700000,8165200000,2100000,0,0,4747700000,460200000,-25400000,-25400000,-0.08,-0.08,0.01,89100000,469900000,-4100000,554800000,724400000,141500000,5.09,6.08,4.1,-0.007,-0.0041,18.73,0.19,19.58,11.1,None,0.5815,0.5967,None,0.14,-0.12,5.0368
2017-06-30,303873924,303873924,1,13723900000,2531800000,5533600000,503000000,8184600000,5700000,0,0,4744700000,457500000,-45500000,-45500000,-0.15,-0.15,0.01,25900000,76700000,-205600000,-102100000,169600000,50000000,7.2,9.5,4.89,0.0065,0.0038,26.93,0.27,2.94,11.09,0.2285,0.5797,0.5964,0.0268,0.14,-0.08,5.0334
2017-03-31,303500188,303500188,1,13972300000,2713600000,5746500000,546100000,8221200000,4600000,0,0,4905900000,471100000,-25700000,-25700000,-0.09,-0.09,0.01,104600000,-645400000,-346700000,-888000000,271700000,282600000,10.09,12.04,8.15,0.0853,0.0495,27.09,0.37,3.08,11.08,0.0176,0.5967,0.5884,0.2832,0.17,-0.59,4.9691
2016-12-31,302954662,302954662,1,14374500000,3279300000,6119500000,854400000,8250600000,4400000,0,0,4942600000,504600000,39000000,39000000,0.22,0.22,0.01,83500000,-205100000,816700000,694300000,1159700000,58100000,9.61,12.03,7.19,0.1156,0.0643,27.23,0.37,None,11.07,0.0136,0.5991,0.574,0.3206,0.2,0.08,3.8381
2016-09-30,303047563,303047563,1,13602300000,2465700000,5621300000,590200000,7972700000,8300000,0,0,4677000000,548200000,85300000,85300000,0.28,0.28,0.01,194400000,-338100000,-181000000,-324900000,465400000,44900000,8.7,10.89,6.5,-0.223,-0.1187,26.31,0.33,None,11.06,None,0.5866,0.5861,None,0.23,0.49,4.1777
2016-06-30,301337497,301337497,1,13765000000,2554700000,5878100000,610800000,7879900000,7000000,0,0,4905600000,909600000,590600000,590600000,2.04,2.04,0.01,562900000,-752500000,-103800000,-293700000,790300000,51300000,10.68,12.36,9,-0.1879,-0.0984,26.15,0.48,None,11.05,None,0.6225,0.5725,None,0.25,1.7,4.1825
2016-03-31,301312161,301312161,1,13610000000,2322800000,6903600000,1507400000,6700700000,5700000,0,0,4991000000,814000000,175300000,175300000,0.74,0.74,0.01,238700000,727000000,-2900000,962700000,1084000000,158100000,11.68,16.1,7.25,-0.2252,-0.1162,22.24,0.42,None,11.04,None,0.7448,0.4923,None,0.25,0.27,1.5409
2015-12-31,235274198,235274198,1,13637000000,2285100000,7119800000,775500000,6512900000,4300000,0,4300000,5895100000,828300000,-2471800000,-2471800000,-10.6,-10.6,0.15,425100000,-501000000,-42900000,-118800000,121300000,-38100000,16.09,18.93,13.26,-0.1946,-0.1016,27.68,0.42,None,11.03,None,0.9051,0.4776,None,0.26,1.97,2.9466
