"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2018-02-28,399825076,399825076,1,14696700000,1165800000,6526000000,1480400000,8162300000,8400000,0,12939000000,4186100000,932100000,241300000,241300000,0.61,0.59,0,202900000,-55100000,-118900000,22200000,156000000,58300000,46.13,49.19,43.07,0.0753,0.0413,20.41,2.29,46.13,0,0,0.5129,0.5554,0.1606,0.26,0.36,0.7875
2017-11-30,397814386,397814386,1,14554400000,1015000000,6530900000,1906100000,8004400000,19100000,0,12966800000,3617300000,944700000,105700000,105700000,0.26,0.25,0,242900000,-458200000,172000000,-20000000,133800000,68400000,45.47,48.53,42.4,0.0538,None,20.12,2.35,None,0,0,0.4519,0.55,0.1158,0.25,0.44,0.5325
2017-08-31,398893305,398893305,1,14016900000,972100000,6245200000,1840700000,7702100000,69600000,0,12467800000,3424700000,904700000,145900000,145900000,0.37,0.35,0,267300000,-66300000,-208100000,-8700000,153800000,61300000,45.63,47.92,43.34,None,None,19.31,2.39,None,0,None,0.4446,0.5495,None,None,0.52,0.5281
2017-05-31,399197261,399197261,1,14071200000,1024200000,6404300000,1859600000,7608600000,58300000,0,12513400000,3423200000,906100000,99300000,99300000,0.25,0.24,0,200600000,-55400000,-126600000,7700000,162500000,58800000,42.44,47.06,37.82,None,None,19.06,2.25,None,0,None,0.4499,0.5407,None,None,0.36,0.5508
2017-02-28,406874871,406874871,1,14005700000,1044600000,6255800000,1967400000,7691700000,58200000,0,12454300000,3131500000,844200000,66000000,66000000,0.16,0.16,0,250700000,-66400000,-166600000,15900000,154800000,71700000,37.54,40.88,34.2,None,None,18.9,1.89,None,0,None,0.4071,0.5492,None,None,0.44,0.531
2016-11-30,406912344,406912344,1,13936600000,933500000,5794500000,1412400000,8084400000,57700000,0,12561600000,3279300000,None,None,None,None,None,0,163200000,-65200000,-152200000,-61800000,138900000,48300000,35.99,37.85,34.13,None,None,19.87,1.8,None,0,None,0.4056,0.5801,None,None,0.28,0.6609
2016-08-31,421946796,421946796,1,14328400000,929500000,5818100000,1414600000,8432600000,77700000,0,12988700000,3140000000,724600000,-31700000,-31700000,-0.09,-0.09,0,None,None,None,None,200700000,0,33.94,37.5,30.38,None,None,19.98,None,None,0,None,0.3724,0.5885,None,None,None,0.6571
