"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2017-12-31,750904551,750904551,1,7412477000,5321884000,2365259000,583278000,5047218000,0,0,1238589000,1708768000,731560000,91079000,91079000,0.13,0.13,0,198107000,-134895000,-12530000,51855000,1638413000,40159000,21.17,25.56,16.78,-0.0224,-0.0153,6.72,3.26,None,0,None,0.3386,0.6809,None,0.34,0.21,9.1241
2017-09-30,742793573,742793573,1,7075789000,5002422000,2246383000,481202000,4829406000,0,0,1242440000,1690554000,589633000,-21095000,-21095000,-0.03,-0.03,0,239947000,85031000,-27020000,298235000,1586558000,34583000,18.27,20.88,15.67,-0.0777,-0.0527,6.5,2.85,None,0,None,0.3501,0.6825,None,0.35,0.28,10.3957
2017-06-30,737893225,737893225,1,6963098000,4840102000,2234202000,494578000,4728896000,0,0,1251480000,1665878000,573855000,-116488000,-116488000,-0.16,-0.16,0,189707000,-82088000,-15171000,96757000,1288323000,43336000,16.95,19.78,14.12,-0.0961,-0.0652,6.41,2.64,None,0,None,0.3523,0.6791,None,0.36,0.2,9.7863
2017-03-31,730833073,730833073,1,6892742000,4695332000,2202366000,488992000,4690376000,0,0,1263078000,1638110000,548251000,-61559000,-61559000,-0.09,-0.09,0,203448000,19020000,-23652000,202968000,1191566000,39881000,16.55,18.77,14.32,-0.0949,-0.0647,6.42,2.61,None,0,None,0.3492,0.6805,None,0.37,0.22,9.6021
2016-12-31,726894203,726894203,1,6870365000,4652196000,2265430000,584021000,4604935000,0,0,1280649000,1605804000,717206000,-167054000,-167054000,-0.23,-0.23,0,196543000,-187572000,-22441000,-23359000,988598000,48105000,20.7,25.25,16.16,-0.1,-0.0684,6.34,3.19,None,0,None,0.3487,0.6703,None,0.38,0.2,7.9658
2016-09-30,714902970,714902970,1,6742946000,4478413000,2113614000,470598000,4629332000,0,0,1296384000,1572062000,615934000,-102871000,-102871000,-0.15,-0.15,0,189192000,-97105000,-27851000,64247000,1011957000,72317000,19.84,23.98,15.69,-0.0843,-0.0579,6.48,3.08,None,0,None,0.3396,0.6865,None,0.38,0.16,9.5164
2016-06-30,707726943,707726943,1,6616814000,4382039000,2059961000,449638000,4556853000,0,0,1314073000,1539693000,601958000,-107217000,-107217000,-0.15,-0.15,0,214556000,-284913000,-9604000,-79951000,947710000,39087000,15.85,17.98,13.72,-0.0925,-0.0633,6.44,2.48,None,0,None,0.3379,0.6887,None,0.38,0.25,9.7457
2016-03-31,701897432,701897432,1,6476168000,4388909000,1998682000,422765000,4477486000,0,0,1250807000,1520991000,594521000,-79731000,-79731000,-0.12,-0.12,0,162764000,-28418000,-24079000,116190000,1027661000,59148000,18.45,23,13.91,-0.101,-0.0689,6.38,2.95,None,0,None,0.3397,0.6914,None,0.37,0.15,10.3814
2015-12-31,697726321,697726321,1,6442439000,4381792000,2074392000,506039000,4368047000,0,0,1263743000,1514790000,710473000,-90236000,-90236000,-0.13,-0.13,0,99238000,-67759000,5212000,35039000,911471000,80464000,26.93,31.87,21.99,-0.1258,-0.0847,6.26,4.3,None,0,None,0.3468,0.678,None,0.36,0.03,8.659
2015-09-30,682946653,682946653,1,6289064000,4263559000,2014901000,427778000,4274163000,0,0,1270407000,1508493000,569237000,-131690000,-131690000,-0.2,-0.2,0,101668000,-79126000,-27358000,-6875000,876432000,106476000,29.91,38.82,21.01,-0.1406,-0.0937,6.26,4.78,None,0,None,0.3529,0.6796,None,0.33,-0.01,9.9668
2015-06-30,676304418,676304418,1,6230334000,4270427000,1999150000,424841000,4231184000,0,0,1258545000,1498277000,502383000,-136663000,-136663000,-0.21,-0.21,0,89979000,-814755000,-4881000,-724098000,883307000,92605000,43.5,53.49,33.51,-0.1592,-0.1048,6.26,7.73,None,0,None,0.3541,0.6791,None,0.31,-0,10.0518
2015-03-31,654774147,654774147,1,5643417000,4194091000,1956320000,394295000,3687097000,0,0,802016000,1494806000,435939000,-162442000,-162442000,-0.25,-0.25,0,92181000,59219000,-35971000,96681000,1607405000,67735000,43.7,51.87,35.54,-0.1751,None,5.63,7.8,None,0,None,0.4054,0.6533,None,0.31,0.04,10.6369
2014-12-31,647836523,647836523,1,5583082000,4255853000,1956679000,393794000,3626403000,0,0,727581000,1494970000,479078000,-125352000,-125352000,-0.2,-0.2,0,43318000,-861562000,79172000,-742071000,1510724000,68791000,45.3,55.99,34.62,-0.176,None,5.6,8.15,None,0,None,0.4122,0.6495,None,0.31,-0.04,10.8073
2014-09-30,634511461,634511461,1,5448654000,4173885000,1923616000,442476000,3525038000,0,0,737984000,1415225000,361266000,-175464000,-175464000,-0.29,-0.29,0,-85902000,-136071000,1635635000,1407819000,2252795000,38762000,44.8,53.64,35.95,None,None,5.56,9.05,None,0,None,0.4015,0.647,None,None,-0.2,9.433
2014-06-30,615232482,615232482,1,3584817000,2463886000,538224000,370375000,3046593000,0,0,620098000,101929000,312166000,-144642000,-144642000,-0.24,-0.24,0,81697000,-212602000,13388000,-115779000,844976000,44457000,38.55,47.59,29.51,None,None,4.95,7.74,None,0,None,0.0335,0.8499,None,None,0.06,6.6524
2014-03-31,589938826,589938826,1,3356209000,2505380000,419363000,261251000,2936846000,0,0,434928000,102534000,250492000,-132362000,-132362000,-0.23,-0.23,0,42683000,112963000,-36473000,119745000,960755000,49620000,56.87,70.43,43.31,None,None,4.98,11.35,None,0,None,0.0349,0.875,None,None,-0.01,9.5899
2013-12-31,588378111,588378111,1,3366240000,2574679000,416234000,225430000,2950006000,0,0,441104000,110520000,None,None,None,None,None,0,None,None,None,None,841010000,0,56.77,74.73,38.8,None,None,5.01,None,None,0,None,0.0375,0.8764,None,None,None,11.4212
