"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2014-06-30,602673743,100445624,0.166667,12985700000,1031000000,12395500000,1405300000,590200000,0,0,6220800000,8593100000,1466000000,14000000,12800000,0.03,0.03,0.25,361800000,-196000000,-181000000,-15200000,54800000,205800000,55.38,61.32,49.44,0.2321,0.0135,5.88,7.69,27.97,46.62,3.4347,14.5596,0.0454,0.0295,0.44,1.55,0.7337
2014-03-31,602659992,100443332,0.166667,13239800000,1143400000,12517100000,1427600000,722700000,0,0,6285900000,8617600000,1464900000,16000000,14700000,0.02,0.02,0.25,319800000,-123600000,-174400000,21800000,70000000,153000000,46.89,50.7,43.08,0.2383,0.0152,7.2,5.54,19.54,45.12,2.9785,11.9242,0.0546,0.0337,0.44,1.66,0.8009
2013-12-31,596003559,99333926,0.166667,13444600000,1184800000,12604400000,1445600000,840200000,0,0,6351500000,8622200000,1478000000,118400000,117400000,0.2,0.2,0.25,358700000,-79300000,-304600000,-25200000,48200000,175000000,49.71,52.5,46.92,0.2586,0.0178,8.46,5.78,43.61,43.62,2.5091,10.2621,0.0625,0.0396,0.44,1.85,0.8196
2013-09-30,596073169,99345528,0.166667,13486700000,1084600000,12631900000,1435700000,854800000,0,0,6431400000,8760800000,1503600000,30600000,29600000,0.05,0.05,0.25,448100000,-183100000,-269900000,-4900000,73400000,193800000,48.75,52.5,45,0.1164,0.0086,8.6,5.09,35.33,42.12,5.1839,10.2489,0.0634,0.019,0.44,2.56,0.7555
2013-06-30,592812168,98802028,0.166667,13638900000,1113800000,12692800000,1332400000,946100000,0,0,6503900000,8867900000,1506100000,39700000,38700000,0.06,0.06,0.25,408000000,-210700000,-173400000,23900000,78300000,228700000,49.14,53.28,45,0.1274,0.0102,9.58,4.74,31.5,40.62,4.2954,9.3731,0.0694,0.0226,0.44,1.81,0.8359
2013-03-31,592761683,98793614,0.166667,13723500000,1114600000,12699600000,2104900000,1023900000,0,0,6577800000,8108700000,1500400000,52300000,51200000,0.09,0.09,0.25,304600000,-234500000,-147700000,-77600000,54400000,243500000,53.61,60,47.22,0.1292,0.0112,10.36,4.77,31.91,39.12,3.878,7.9194,0.0746,0.0249,0.44,0.62,0.5295
2012-12-31,590484782,98414130,0.166667,13982000000,1300100000,12877200000,2168400000,1104800000,0,0,6652200000,8114900000,1520900000,-4500000,-5100000,-0.01,-0.01,0.25,534000000,-295800000,-221000000,17200000,132000000,291800000,54.39,61.62,47.16,0.1286,0.012,11.23,4.28,34.87,37.62,3.5812,7.3451,0.079,0.0267,0.44,2.46,0.5996
2012-09-30,588127475,98021246,0.166667,14028400000,1213500000,12783800000,2442400000,1244600000,0,0,6805600000,7848300000,1552400000,53700000,52800000,0.09,0.09,0.25,406800000,-342600000,13100000,77300000,114800000,307300000,60.45,66.24,54.66,0.1116,0.0111,12.7,4.43,32.5,36.12,3.8264,6.3059,0.0887,0.0263,0.42,1.02,0.4968
2012-06-30,587994865,97999144,0.166667,13927200000,1111900000,12589800000,1301700000,1337400000,0,0,6888700000,8794300000,1537800000,54200000,53200000,0.09,0.09,0.25,398000000,-287600000,-137100000,-26700000,37500000,276000000,62.25,70.5,54,0.1356,0.013,13.65,4.28,25.94,34.62,3.3062,6.5757,0.096,0.0324,0.4,1.24,0.8542
2012-03-31,588361183,98060197,0.166667,13966400000,1132800000,12540300000,1280100000,1426100000,0,0,6947200000,8788000000,1545200000,64600000,63500000,0.11,0.11,0.25,438800000,-175700000,-425900000,-162800000,64200000,169100000,71.88,75.3,68.46,0.1868,0.0167,14.54,4.69,35.24,33.12,2.5914,6.1623,0.1021,0.0442,0.38,2.75,0.8849
