"Holdings and weightings as of 5:39 PM ET 05/18/2018",
"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"AMZN","Amazon.com Inc","21.41%","1579.05","+4.68","+0.30%","2.04 M","927.00 - 1638.10",
"HD","Home Depot Inc","7.41%","189.66","+2.24","+1.20%","2.42 M","144.25 - 207.61",
"DIS","Walt Disney Co","5.29%","103.93","0.00","0.00%","3.69 M","96.20 - 113.19",
"CMCSA","Comcast Corp A","5.13%","32.29","-0.44","-1.33%","11.44 M","30.43 - 44.00",
"NFLX","NetFlix Inc","4.76%","329.16","+4.98","+1.54%","4.89 M","144.25 - 338.82",
"MCD","McDonald's Corp","4.34%","161.39","+0.41","+0.25%","1.41 M","146.84 - 178.70",
"BKNG","Booking Holdings Inc","3.41%","2069.41","+3.07","+0.15%","188.74 K","1630.56 - 2228.99",
"NKE","NIKE Inc B","3.13%","71.59","+0.27","+0.37%","3.72 M","50.35 - 71.60",
"SBUX","Starbucks Corp","2.72%","57.42","+0.26","+0.46%","3.68 M","52.58 - 64.87",
"TWX","Time Warner Inc","2.49%","94.35","-0.10","-0.11%","1.66 M","85.88 - 103.90",
"LOW","Lowe's Cos Inc","2.43%","87.28","+0.94","+1.09%","2.58 M","70.76 - 108.98",
"TJX","TJX Cos Inc","1.81%","84.59","-0.20","-0.24%","3.19 M","66.44 - 87.31",
"CHTR","Charter Communications Inc A","1.70%","265.76","-4.41","-1.63%","1.30 M","250.10 - 408.83",
"GM","General Motors Company","1.62%","38.19","+0.40","+1.06%","3.34 M","31.92 - 46.76",
"F","Ford Motor Co","1.50%","11.54","+0.21","+1.81%","19.66 M","10.14 - 13.48",
"MAR","Marriott Intl A","1.41%","138.55","+0.03","+0.02%","661.52 K","96.90 - 149.21",
"TGT","Target Corp","1.40%","77.04","+1.10","+1.45%","2.67 M","48.56 - 78.70",
"FOXA","Twenty-First Century Fox Inc A","1.34%","37.89","+0.23","+0.61%","3.43 M","24.81 - 39.35",
"ROST","Ross Stores Inc","1.07%","82.00","-0.47","-0.57%","2.30 M","52.85 - 85.66",
"YUM","Yum! Brands Inc","0.93%","82.96","+0.62","+0.75%","833.79 K","69.15 - 88.07",
"CCL","Carnival Corp","0.89%","64.82","-0.02","-0.03%","1.22 M","61.07 - 72.70",
"VFC","VF Corp","0.89%","81.12","+1.05","+1.31%","1.40 M","51.25 - 84.38",
"APTV","Aptiv plc","0.88%","98.24","+0.90","+0.92%","656.25 K","50.01 - 104.99",
"DG","Dollar General Corp","0.84%","97.06","+0.33","+0.34%","888.28 K","65.97 - 105.82",
"HLT","Hilton Worldwide Holdings  Inc","0.80%","84.04","+0.20","+0.24%","1.36 M","60.54 - 88.11",
"ORLY","O'Reilly Automotive","0.77%","276.09","+4.00","+1.47%","402.17 K","169.43 - 279.23",
"DLTR","Dollar Tree Inc","0.75%","93.88","+0.78","+0.84%","1.31 M","65.63 - 116.65",
