"Holdings and weightings as of 5:39 PM ET 05/18/2018",
"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"AAPL","Apple Inc.","14.96%","187.18","+0.87","+0.47%","13.71 M","142.20 - 190.37",
"MSFT","Microsoft Corp","11.74%","97.31","+0.95","+0.98%","11.26 M","67.43 - 98.69",
"FB","Facebook Inc A","6.93%","184.08","+1.40","+0.77%","9.57 M","144.56 - 195.32",
"GOOG","Alphabet Inc C","5.14%","1077.00","+10.64","+1.00%","761.85 K","894.79 - 1186.89",
"GOOGL","Alphabet Inc A","5.05%","1081.92","+12.28","+1.15%","924.09 K","915.31 - 1198.00",
"INTC","Intel Corp","3.96%","54.02","+0.52","+0.97%","16.50 M","33.23 - 55.79",
"V","Visa Inc A","3.71%","130.31","+0.38","+0.29%","3.54 M","91.71 - 132.50",
"CSCO","Cisco Systems Inc","3.29%","43.55","+0.34","+0.79%","13.75 M","30.36 - 46.37",
"VZ","Verizon Communications Inc","3.12%","48.40","+0.66","+1.38%","5.19 M","42.80 - 54.77",
"T","AT&T Inc","3.11%","32.46","+0.41","+1.29%","15.86 M","31.17 - 39.80",
"MA","Mastercard Inc A","2.78%","190.85","+0.45","+0.24%","1.72 M","116.51 - 194.72",
"NVDA","Nvidia Corp","2.35%","241.46","-4.49","-1.82%","11.30 M","135.22 - 260.50",
"ORCL","Oracle Corp","2.21%","47.10","+0.78","+1.67%","7.69 M","43.74 - 53.48",
"IBM","Intl Business Machines Corp","1.95%","145.30","+1.22","+0.85%","1.79 M","139.13 - 171.13",
"ADBE","Adobe Systems Inc","1.85%","237.25","-0.85","-0.35%","976.61 K","131.20 - 243.34",
"TXN","Texas Instruments Inc","1.72%","110.03","-0.51","-0.46%","2.53 M","75.92 - 120.75",
"AVGO","Broadcom Inc","1.53%","237.83","+1.84","+0.78%","1.55 M","221.98 - 285.68",
"ACN","Accenture plc A","1.52%","156.75","+1.44","+0.93%","660.89 K","119.10 - 165.58",
"PYPL","PayPal Holdings Inc.","1.44%","80.74","-0.05","-0.06%","5.38 M","49.06 - 86.32",
"CRM","Salesforce.com","1.39%","126.07","-0.90","-0.70%","1.77 M","83.55 - 131.00",
"QCOM","QUALCOMM Inc","1.35%","57.06","-0.45","-0.78%","9.93 M","48.56 - 69.28",
"MU","Micron Technology Inc","0.98%","55.13","+1.74","+3.26%","54.52 M","26.85 - 63.42",
"ADP","Automatic Data Processing","0.90%","128.70","-0.21","-0.16%","737.54 K","97.89 - 129.51",
"ATVI","Activision Blizzard Inc","0.86%","71.26","-0.73","-1.01%","4.34 M","54.94 - 79.63",
"AMAT","Applied Materials Inc","0.82%","49.46","-0.05","-0.11%","15.06 M","40.79 - 62.40",
"INTU","Intuit Inc","0.73%","191.29","+0.75","+0.39%","639.39 K","124.70 - 196.28",
"CTSH","Cognizant Tech Solutions Corp","0.71%","75.56","-0.28","-0.37%","1.13 M","64.90 - 85.10",
"EA","Electronic Arts","0.64%","132.25","+0.25","+0.19%","1.46 M","99.63 - 134.58",
"EBAY","eBay Inc.","0.57%","38.24","-0.09","-0.22%","4.18 M","33.60 - 46.99",
"HPQ","HP Inc","0.57%","22.01","-0.13","-0.59%","3.15 M","17.10 - 24.75",
"ADI","Analog Devices Inc","0.56%","94.81","-0.07","-0.07%","930.01 K","76.07 - 98.38",
"FIS","Fidelity National Information","0.55%","104.38","+0.26","+0.25%","363.55 K","82.94 - 105.02",
"TEL","TE Connectivity Ltd.","0.53%","95.79","+0.63","+0.66%","773.09 K","74.14 - 108.23",
"LRCX","Lam Research Corp","0.50%","198.73","+3.24","+1.66%","1.93 M","139.24 - 234.88",
"ADSK","Autodesk Inc","0.48%","137.04","-1.81","-1.30%","1.69 M","99.22 - 141.26",
"FISV","Fiserv Inc","0.48%","73.15","+0.17","+0.23%","833.81 K","59.74 - 74.46",
"RHT","Red Hat Inc","0.46%","162.80","-0.48","-0.29%","851.84 K","85.96 - 173.58",
"DXC","DXC Technology Company","0.45%","100.85","+0.62","+0.62%","597.85 K","73.51 - 107.85",
"HPE","Hewlett Packard Enterprise Co","0.44%","17.52","-0.05","-0.26%","3.77 M","12.82 - 19.48",
"APH","Amphenol Corp A","0.43%","88.59","+0.61","+0.69%","587.12 K","72.35 - 93.62",
"WDC","Western Digital Corp","0.40%","86.36","+1.61","+1.90%","2.76 M","75.96 - 106.96",
"GLW","Corning Inc","0.38%","27.66","-0.03","-0.11%","1.98 M","26.11 - 35.10",
"MCHP","Microchip Technology Inc","0.34%","93.25","+0.45","+0.48%","638.64 K","75.80 - 101.48",
"PAYX","Paychex Inc","0.33%","65.09","+0.27","+0.42%","805.54 K","54.20 - 73.10",
"CTL","CenturyLink Inc","0.30%","19.29","0.00","0.00%","4.59 M","13.16 - 27.61",
"NTAP","NetApp Inc","0.29%","68.61","-0.50","-0.72%","3.13 M","37.43 - 72.85",
"XLNX","Xilinx Inc","0.29%","71.82","+0.59","+0.83%","1.25 M","60.12 - 78.02",
"GPN","Global Payments Inc","0.29%","113.28","-0.48","-0.42%","738.29 K","87.30 - 118.94",
"SWKS","Skyworks Solutions Inc","0.28%","98.57","+0.40","+0.41%","1.34 M","86.13 - 117.65",
"KLAC","KLA-Tencor Corporation","0.27%","110.45","+1.06","+0.97%","733.23 K","87.93 - 123.96",
"MSI","Motorola Solutions Inc","0.27%","108.16","+1.75","+1.64%","738.97 K","79.63 - 111.91",
"STX","Seagate Technology","0.25%","57.10","+0.79","+1.40%","1.65 M","30.60 - 62.70",
"TSS","Total System Services Inc","0.23%","86.21","-0.43","-0.50%","509.95 K","57.53 - 90.74",
"CTXS","Citrix Systems Inc","0.22%","105.37","+0.03","+0.03%","347.25 K","73.33 - 108.42",
"SYMC","Symantec Corp","0.22%","21.43","-0.76","-3.43%","7.33 M","18.85 - 34.20",
"ANSS","ANSYS Inc","0.22%","163.96","-0.98","-0.59%","140.60 K","119.20 - 173.20",
"SNPS","Synopsys Inc","0.21%","89.18","-0.07","-0.08%","394.42 K","70.55 - 94.80",
"TTWO","Take-Two Interactive Software","0.21%","115.29","-0.53","-0.45%","1.84 M","66.70 - 129.25",
"AKAM","Akamai Technologies Inc","0.20%","76.34","+1.00","+1.33%","760.96 K","44.65 - 78.28",
"IT","Gartner Inc","0.19%","132.66","-1.57","-1.17%","395.92 K","111.57 - 142.16",
"CDNS","Cadence Design Systems Inc","0.19%","41.82","+0.02","+0.05%","1.45 M","32.38 - 46.00",
"CA","CA Inc","0.17%","35.44","+0.27","+0.77%","984.62 K","30.45 - 37.25",
"FFIV","F5 Networks Inc","0.17%","174.20","+1.93","+1.12%","326.14 K","114.63 - 174.26",
"VRSN","VeriSign Inc","0.17%","128.19","+0.52","+0.41%","384.12 K","88.12 - 128.35",
"AMD","Advanced Micro Devices","0.17%","12.93","-0.08","-0.58%","38.85 M","9.04 - 15.65",
"ADS","Alliance Data Systems Corp","0.16%","212.58","+2.49","+1.19%","278.59 K","192.02 - 278.33",
"QRVO","Qorvo, Inc","0.16%","80.60","+1.01","+1.27%","963.06 K","62.68 - 86.84",
"JNPR","Juniper Networks Inc","0.15%","26.79","+0.13","+0.47%","1.94 M","23.61 - 30.44",
"WU","Western Union Co","0.15%","20.14","+0.05","+0.25%","1.88 M","18.38 - 22.21",
"IPGP","IPG Photonics Corp","0.15%","244.28","+1.82","+0.75%","140.30 K","135.52 - 264.11",
"FLIR","FLIR Systems Inc","0.12%","54.62","+0.24","+0.44%","485.48 K","33.95 - 55.67",
"XRX","Xerox Corp","0.10%","27.96","-0.23","-0.82%","1.37 M","6.85 - 37.42",
