"Holdings and weightings as of 5:39 PM ET 05/18/2018",
"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"DWDP","DowDuPont Inc.","22.00%","68.57","+1.00","+1.47%","4.36 M","60.39 - 77.08",
"MON","Monsanto Co.","8.37%","125.75","-0.10","-0.08%","1.11 M","114.19 - 126.80",
"PX","Praxair Inc","6.91%","160.71","+1.17","+0.73%","460.57 K","127.36 - 166.95",
"LYB","LyondellBasell Industries N.V.","5.67%","117.43","+1.21","+1.04%","930.37 K","78.01 - 121.95",
"APD","Air Products & Chemicals Inc","5.56%","169.27","+1.03","+0.61%","499.19 K","140.78 - 175.17",
"ECL","Ecolab Inc","5.04%","147.98","+0.15","+0.10%","313.01 K","125.74 - 150.46",
"SHW","Sherwin-Williams Co","4.23%","390.54","+2.97","+0.77%","333.75 K","326.68 - 435.15",
"PPG","PPG Industries Inc","4.16%","105.06","+0.11","+0.10%","618.85 K","100.36 - 122.07",
"FCX","Freeport-McMoRan Inc","3.54%","16.68","-0.19","-1.13%","9.92 M","11.05 - 20.25",
"IP","Intl Paper Co","3.53%","55.00","+0.04","+0.07%","901.67 K","50.00 - 66.94",
"NEM","Newmont Mining Corp","3.25%","39.29","+0.13","+0.33%","1.74 M","31.42 - 42.04",
"NUE","Nucor Corp","3.24%","65.19","-0.35","-0.54%","955.79 K","51.67 - 70.48",
"VMC","Vulcan Materials Co","2.66%","129.55","+0.35","+0.27%","685.75 K","108.17 - 141.20",
"WRK","WestRock Co","2.47%","61.28","-0.81","-1.30%","1.12 M","51.61 - 71.55",
"EMN","Eastman Chemical Co","2.42%","108.81","-0.14","-0.13%","355.70 K","77.48 - 112.45",
"MLM","Martin Marietta Materials","2.14%","218.44","-0.87","-0.40%","228.40 K","189.27 - 241.33",
"BLL","Ball Corp","2.07%","38.04","+0.08","+0.21%","919.33 K","35.60 - 43.24",
"FMC","FMC Corp","1.91%","91.32","-0.19","-0.21%","492.11 K","71.43 - 98.70",
"ALB","Albemarle Corp","1.81%","103.97","-0.95","-0.91%","1.21 M","86.75 - 144.99",
"PKG","Packaging Corp of America","1.78%","122.09","+0.91","+0.75%","322.38 K","99.00 - 131.13",
"IFF","Intl Flavors & Fragrances","1.55%","125.05","-1.31","-1.04%","385.77 K","123.19 - 157.40",
"MOS","Mosaic Co","1.52%","28.29","+0.38","+1.36%","3.31 M","19.23 - 29.20",
"CF","CF Industries Holdings","1.50%","42.12","+0.77","+1.86%","1.35 M","25.65 - 45.00",
"AVY","Avery Dennison Corp","1.49%","110.27","+1.17","+1.07%","304.09 K","82.36 - 123.67",
"SEE","Sealed Air Corp","1.16%","44.51","+0.12","+0.26%","479.62 K","40.76 - 49.94",
