"Holdings and weightings as of 5:39 PM ET 05/18/2018",
"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"AMT","American Tower Corp A","9.86%","137.27","+0.22","+0.16%","750.06 K","125.24 - 155.28",
"SPG","Simon Property Group A","7.83%","157.51","+3.33","+2.16%","670.49 K","145.78 - 173.02",
"CCI","Crown Castle Intl Corp","6.92%","102.28","+0.05","+0.05%","749.57 K","93.14 - 114.97",
"PLD","ProLogis Inc","5.50%","63.81","+0.57","+0.89%","1.23 M","54.60 - 67.53",
"EQIX","Equinix Inc","4.99%","387.82","+1.96","+0.51%","232.19 K","370.79 - 495.35",
"PSA","Public Storage","4.98%","205.56","+1.97","+0.97%","268.10 K","180.48 - 219.93",
"WY","Weyerhaeuser Co","4.49%","36.81","+0.36","+0.99%","2.51 M","30.95 - 37.89",
"EQR","Equity Residential","3.58%","60.43","+0.80","+1.34%","607.86 K","54.97 - 70.46",
"AVB","AvalonBay Communities Inc","3.56%","159.27","+1.51","+0.95%","558.36 K","152.65 - 199.52",
"DLR","Digital Realty Trust","3.53%","106.51","+1.27","+1.21%","357.90 K","96.56 - 127.23",
"WELL","Welltower Inc","3.28%","55.23","+0.96","+1.77%","952.27 K","49.58 - 78.17",
"SBAC","SBA Communications Corp","3.00%","160.17","+2.48","+1.57%","291.38 K","129.40 - 177.67",
"VTR","Ventas Inc","2.99%","52.07","+0.61","+1.18%","938.76 K","46.55 - 72.36",
"BXP","Boston Properties Inc","2.95%","118.34","+1.25","+1.07%","405.82 K","111.57 - 132.00",
"ESS","Essex Property Trust","2.47%","232.40","+3.53","+1.54%","133.76 K","214.03 - 270.04",
"HST","Host Hotels & Resorts Inc","2.46%","21.06","+0.56","+2.73%","4.65 M","17.26 - 21.53",
"O","Realty Income Corp","2.40%","52.43","+0.77","+1.49%","791.48 K","47.25 - 60.05",
"CBRE","CBRE Group Inc.","2.34%","47.69","+0.26","+0.55%","636.69 K","33.02 - 48.44",
"GGP","GGP Inc","2.09%","20.41","+0.13","+0.64%","2.76 M","18.83 - 24.37",
"ARE","Alexandria Real Estate Eqty","2.00%","123.39","+2.17","+1.79%","373.09 K","114.00 - 134.37",
"EXR","Extra Space Storage Inc","1.89%","92.76","+0.78","+0.85%","316.24 K","73.70 - 95.96",
"VNO","Vornado Realty Trust","1.86%","66.53","+0.60","+0.91%","480.43 K","64.13 - 97.25",
"HCP","HCP Inc","1.76%","23.17","+0.15","+0.63%","1.75 M","21.48 - 33.67",
"MAA","Mid-America Apt Communties","1.63%","88.72","+0.79","+0.90%","138.85 K","85.16 - 110.95",
"DRE","Duke Realty Corp","1.60%","27.56","+0.16","+0.57%","922.45 K","24.30 - 30.14",
"UDR","UDR Inc","1.52%","35.08","+0.41","+1.17%","652.06 K","32.88 - 40.71",
"IRM","Iron Mountain Inc","1.47%","32.71","+0.63","+1.95%","599.71 K","30.78 - 41.53",
"SLG","SL Green Realty Corp","1.39%","95.83","+1.56","+1.65%","470.25 K","89.46 - 109.00",
"FRT","Federal Realty Invt Trust","1.37%","116.87","+2.13","+1.86%","181.03 K","106.41 - 135.59",
"REG","Regency Centers Corp","1.35%","56.75","+1.05","+1.89%","550.37 K","54.87 - 70.64",
"AIV","Apartment Investment & Mgmt","1.00%","39.18","+0.38","+0.98%","372.86 K","37.97 - 46.72",
"KIM","Kimco Realty Corp","0.98%","14.65","+0.60","+4.25%","3.34 M","13.16 - 21.24",
"MAC","Macerich Co","0.97%","55.38","+0.54","+0.98%","510.35 K","52.12 - 69.73",
