"Holdings and weightings as of 5:39 PM ET 05/18/2018",
"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"JPM","JP Morgan Chase & Co","11.33%","112.17","+1.04","+0.94%","5.45 M","81.64 - 119.33",
"BRK.b","Berkshire Hathaway B","11.20%","198.14","+2.08","+1.06%","1.48 M","161.58 - 217.62",
"BAC","Bank of America Corp","8.60%","30.53","+0.27","+0.89%","24.92 M","22.07 - 33.05",
"WFC","Wells Fargo & Co","7.00%","54.54","+0.84","+1.56%","7.37 M","49.27 - 66.31",
"C","Citigroup Inc","5.34%","70.40","+0.44","+0.63%","6.37 M","59.87 - 80.70",
"GS","Goldman Sachs Group Inc","2.49%","237.57","+0.57","+0.24%","1.23 M","209.62 - 275.31",
"USB","US Bancorp","2.36%","50.76","+0.21","+0.42%","2.74 M","49.03 - 58.50",
"MS","Morgan Stanley","2.21%","54.28","+0.36","+0.66%","3.62 M","41.07 - 59.38",
"AXP","American Express Co","2.16%","101.76","+0.77","+0.76%","1.26 M","75.98 - 102.96",
"SCHW","Schwab Charles Corp","2.10%","59.40","+0.26","+0.44%","4.62 M","37.63 - 59.94",
"PNC","PNC Finl Services Group","2.08%","149.47","+0.71","+0.48%","613.51 K","116.63 - 163.59",
"BLK","BlackRock Inc","1.98%","543.05","+4.56","+0.85%","206.74 K","388.55 - 594.52",
"CB","Chubb Limited","1.84%","134.12","+0.58","+0.43%","952.52 K","128.82 - 157.50",
"BK","The Bank of New York Mellon Corp","1.71%","57.62","+0.66","+1.17%","2.44 M","46.28 - 58.99",
"CME","CME Group Inc A","1.61%","161.37","+1.59","+1.00%","601.44 K","115.43 - 171.71",
"SPGI","S&P Global Inc","1.49%","200.70","+2.78","+1.40%","631.67 K","137.04 - 201.44",
"AIG","American Intl Group Inc","1.47%","55.43","+0.28","+0.51%","3.00 M","49.57 - 67.30",
"MET","Metlife Inc","1.47%","48.00","+0.22","+0.45%","1.66 M","43.38 - 56.58",
"COF","Capital One Financial","1.39%","96.78","+0.35","+0.36%","1.80 M","76.05 - 106.50",
"PRU","Prudential Financial Inc","1.28%","101.69","+0.16","+0.16%","1.01 M","95.83 - 127.14",
"BBT","BB&T Corp","1.27%","54.68","-0.24","-0.43%","2.42 M","41.17 - 56.31",
"ICE","Intercontinental Exchange Inc","1.24%","72.41","+0.86","+1.20%","630.74 K","58.46 - 76.30",
"MMC","Marsh & McLennan Companies","1.22%","81.53","+0.36","+0.44%","525.05 K","74.29 - 86.54",
"STT","State Street Corp","1.08%","99.89","+0.57","+0.57%","782.82 K","79.77 - 114.27",
"AFL","AFLAC Inc","1.05%","45.67","+0.28","+0.61%","1.25 M","36.77 - 46.19",
"PGR","Progressive Corp","1.05%","61.77","+0.84","+1.38%","1.69 M","41.05 - 62.99",
"TRV","Travelers Cos Inc","1.05%","131.03","+1.18","+0.91%","532.00 K","113.76 - 150.55",
"AON","Aon plc","1.03%","142.36","+1.06","+0.75%","388.58 K","126.62 - 152.78",
"ALL","Allstate Corp","1.00%","95.70","+0.78","+0.82%","701.84 K","84.06 - 105.36",
"STI","SunTrust Banks Inc (GA)","0.95%","68.86","+0.21","+0.31%","1.74 M","51.96 - 73.37",
"TROW","T Rowe Price Group Inc","0.88%","121.92","+1.33","+1.10%","358.92 K","67.62 - 121.80",
"MCO","Moody's Corp","0.85%","174.79","+2.27","+1.32%","449.14 K","113.35 - 174.80",
"DFS","Discover Financial Services","0.81%","77.84","+0.61","+0.79%","569.02 K","57.50 - 81.93",
"MTB","M&T Bank Corp","0.81%","182.33","+0.50","+0.28%","274.86 K","141.12 - 197.37",
"SYF","Synchrony Financial","0.75%","35.73","+0.29","+0.82%","3.29 M","26.34 - 40.59",
"FITB","Fifth Third Bancorp (OH)","0.69%","30.87","-2.69","-8.02%","18.28 M","23.20 - 34.67",
"NTRS","Northern Trust Corp (IL)","0.68%","108.34","+0.52","+0.48%","608.72 K","85.69 - 110.81",
"KEY","KeyCorp","0.64%","20.43","+0.18","+0.89%","5.06 M","16.28 - 22.40",
"RF","Regions Financial Corp","0.64%","19.19","+0.06","+0.31%","5.78 M","13.03 - 20.21",
"AMP","Ameriprise Financial Inc","0.61%","142.66","+1.65","+1.17%","456.37 K","118.84 - 183.90",
"WLTW","Willis Towers Watson PLC","0.61%","155.63","+1.32","+0.86%","136.76 K","139.70 - 165.00",
"CFG","Citizens Financial Group Inc","0.60%","41.90","+0.34","+0.81%","1.75 M","31.51 - 48.23",
"HIG","Hartford Finl Services Group","0.57%","53.60","+0.17","+0.32%","1.14 M","48.36 - 59.20",
"ETFC","E*TRADE Financial Corp","0.51%","65.15","+0.49","+0.76%","988.16 K","33.34 - 65.36",
"SIVB","SVB Financial Group","0.51%","321.91","+0.13","+0.04%","257.20 K","159.44 - 325.93",
"CMA","Comerica Inc (MI)","0.50%","98.87","+0.51","+0.52%","656.24 K","64.04 - 102.66",
"HBAN","Huntington Bancshares (OH)","0.49%","15.25","+0.13","+0.83%","5.50 M","12.14 - 16.60",
"PFG","Principal Financial Group","0.47%","59.04","+0.24","+0.41%","754.82 K","54.89 - 75.59",
"LNC","Lincoln National Corp","0.45%","69.93","+0.95","+1.38%","963.17 K","63.10 - 86.68",
"XL","XL Group Ltd","0.42%","55.79","+0.33","+0.60%","748.82 K","33.77 - 56.39",
"MSCI","MSCI Inc","0.42%","157.97","+1.77","+1.13%","162.95 K","97.51 - 162.29",
"L","Loews Corp","0.41%","51.32","+0.01","+0.02%","451.95 K","45.01 - 53.59",
"RJF","Raymond James Financial Inc","0.38%","100.41","+1.36","+1.37%","551.59 K","71.35 - 99.27",
"AJG","Gallagher Arthur J. & Co","0.36%","68.14","+0.61","+0.90%","271.54 K","55.27 - 72.77",
"CBOE","Cboe Global Markets, Inc","0.36%","106.91","+0.35","+0.32%","469.23 K","83.90 - 138.54",
"IVZ","Invesco Ltd","0.35%","28.67","+0.04","+0.12%","1.26 M","27.35 - 38.43",
"ZION","Zions Bancorp (UT)","0.34%","58.06","+0.29","+0.50%","842.20 K","39.34 - 58.46",
"BEN","Franklin Resources Inc","0.33%","34.49","+0.38","+1.11%","907.08 K","31.67 - 47.65",
"CINF","Cincinnati Financial Corp","0.31%","71.26","+0.53","+0.75%","295.29 K","68.33 - 81.98",
"NDAQ","Nasdaq Inc","0.31%","91.16","+1.09","+1.21%","230.11 K","66.61 - 91.21",
"TMK","Torchmark Corp","0.27%","86.56","+0.92","+1.07%","296.90 K","74.19 - 93.60",
"AMG","Affiliated Managers Grp","0.27%","167.54","-0.17","-0.10%","153.08 K","149.08 - 217.00",
"RE","Everest Re Group Ltd","0.27%","229.01","+2.47","+1.09%","92.95 K","208.81 - 277.17",
"UNM","Unum Group","0.25%","38.81","+0.18","+0.47%","554.25 K","37.57 - 58.73",
"LUK","Leucadia National Corp (NY)","0.22%","23.28","+0.18","+0.78%","949.66 K","21.61 - 28.30",
"PBCT","People's United Financial Inc","0.19%","18.82","+0.19","+1.02%","975.65 K","15.97 - 20.26",
"AIZ","Assurant Inc","0.15%","97.65","+1.73","+1.80%","524.92 K","84.34 - 106.99",
"BHF","Brighthouse Financial Inc","0.13%","47.74","+0.56","+1.18%","521.54 K","46.62 - 75.00",
"NAVI","Navient Corp","0.11%","14.28","+0.21","+1.50%","830.01 K","11.48 - 16.97",
