"Holdings and weightings as of 5:39 PM ET 05/18/2018",
"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"PG","Procter & Gamble","12.02%","73.96","+0.51","+0.69%","4.26 M","70.73 - 94.67",
"KO","Coca-Cola Co","10.51%","42.43","+0.25","+0.58%","5.38 M","41.45 - 48.62",
"PEP","PepsiCo Inc","9.00%","99.21","+1.70","+1.74%","4.29 M","95.94 - 122.51",
"PM","Philip Morris International","8.14%","80.18","-0.57","-0.71%","3.59 M","79.40 - 123.55",
"WMT","Walmart Inc.","7.88%","84.35","+0.71","+0.85%","6.59 M","73.13 - 109.98",
"COST","Costco Wholesale Corp","5.49%","199.36","+0.40","+0.20%","791.52 K","150.00 - 201.35",
"MO","Altria Group Inc","4.40%","55.56","+0.02","+0.04%","4.17 M","53.91 - 77.79",
"MDLZ","Mondelez International Inc","4.07%","39.27","-0.38","-0.96%","4.13 M","37.42 - 47.23",
"WBA","Walgreens Boots Alliance Inc","3.79%","64.56","+0.22","+0.34%","1.62 M","61.56 - 83.89",
"CL","Colgate-Palmolive Co","3.76%","62.29","+0.07","+0.11%","1.99 M","61.28 - 77.91",
"STZ","Constellation Brands Inc A","2.61%","219.30","-1.00","-0.45%","643.14 K","176.21 - 236.62",
"KMB","Kimberly-Clark","2.51%","104.43","+0.76","+0.73%","1.25 M","97.10 - 134.30",
"KHC","The Kraft Heinz Company","2.34%","56.37","-0.42","-0.74%","2.42 M","54.11 - 93.88",
"EL","Estee Lauder Cos. A","2.26%","147.42","+1.93","+1.33%","680.37 K","90.81 - 153.88",
"SYY","Sysco Corp","2.11%","63.84","+0.30","+0.47%","527.70 K","48.85 - 64.77",
"ADM","Archer-Daniels-Midland Co","1.74%","45.12","+0.10","+0.21%","1.83 M","38.59 - 46.25",
"GIS","General Mills Inc","1.64%","41.76","-0.07","-0.16%","3.02 M","41.01 - 60.69",
"KR","Kroger Co","1.51%","24.93","+0.04","+0.14%","9.58 M","19.69 - 31.45",
"DPS","Dr Pepper Snapple Group","1.48%","119.73","+0.26","+0.22%","263.13 K","83.23 - 126.65",
"MNST","Monster Beverage Corp New","1.41%","49.77","+0.30","+0.61%","2.40 M","46.66 - 70.22",
"TSN","Tyson Foods Inc A","1.40%","67.78","-0.13","-0.19%","1.10 M","57.20 - 84.65",
"BF.b","Brown-Forman Corp B","1.07%","58.82","-0.40","-0.68%","350.75 K","47.14 - 70.96",
"CLX","Clorox Co","1.05%","118.88","+1.55","+1.32%","547.34 K","113.57 - 150.40",
"CAG","Conagra Brands, Inc","1.04%","36.81","-0.61","-1.62%","1.70 M","32.16 - 40.25",
"K","Kellogg Co","1.03%","60.87","+0.68","+1.13%","1.58 M","56.40 - 74.28",
"HSY","Hershey Foods Corp","0.89%","91.77","+0.28","+0.31%","528.51 K","89.10 - 116.49",
"MKC","McCormick & Co","0.86%","102.45","-0.50","-0.49%","553.99 K","90.25 - 111.46",
"SJM","Smucker J.M. Co","0.85%","108.06","+0.12","+0.11%","528.58 K","99.57 - 134.12",
"CHD","Church & Dwight Co","0.78%","46.35","+0.23","+0.50%","1.14 M","43.21 - 54.18",
"TAP","Molson Coors Brewing Co B","0.77%","60.35","+0.11","+0.18%","718.90 K","58.75 - 97.50",
"HRL","Hormel Foods Corp","0.67%","36.13","+0.23","+0.63%","1.11 M","29.75 - 38.00",
"CPB","Campbell Soup Co","0.46%","33.68","-0.69","-2.01%","10.87 M","34.09 - 59.14",
"COTY","Coty Inc.","0.46%","14.03","+0.03","+0.18%","6.66 M","13.81 - 21.68",
