"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"AOS","A.O Smith Corporation","54.05","9072980502.45","n/a","n/a","Consumer Durables","Consumer Electronics/Appliances","https://www.nasdaq.com/symbol/aos",
"ABB","ABB Ltd","19.26","41061595939.56","n/a","n/a","Consumer Durables","Electrical Products","https://www.nasdaq.com/symbol/abb",
"ACCO","Acco Brands Corporation","8.7","889200360.6","n/a","n/a","Consumer Durables","Publishing","https://www.nasdaq.com/symbol/acco",
"AYI","Acuity Brands, Inc. ","123.89","4942267825.43","n/a","n/a","Consumer Durables","Building Products","https://www.nasdaq.com/symbol/ayi",
"AMSC","American Superconductor Corporation","12.69","271792161.18","n/a","1991","Consumer Durables","Metal Fabrications","https://www.nasdaq.com/symbol/amsc",
"CRMT","America&#39;s Car-Mart, Inc.","88.66","594599531.24","n/a","n/a","Consumer Durables","Automotive Aftermarket","https://www.nasdaq.com/symbol/crmt",
"AME","AMTEK, Inc.","83.72","19047868577.92","n/a","n/a","Consumer Durables","Metal Fabrications","https://www.nasdaq.com/symbol/ame",
"APHA","Aphria Inc.","9.8","2455697739.6","n/a","n/a","Consumer Durables","Specialty Chemicals","https://www.nasdaq.com/symbol/apha",
"AIT","Applied Industrial Technologies, Inc.","58.66","2273645409.84","n/a","n/a","Consumer Durables","Industrial Specialties","https://www.nasdaq.com/symbol/ait",
"ARD","Ardagh Group S.A.","13.62","3219078528.36","n/a","2017","Consumer Durables","Containers/Packaging","https://www.nasdaq.com/symbol/ard",
"ABG","Asbury Automotive Group Inc","70.22","1369229891.68","n/a","2002","Consumer Durables","Automotive Aftermarket","https://www.nasdaq.com/symbol/abg",
"ASH","Ashland Global Holdings Inc.","78.2","4896766230.8","n/a","n/a","Consumer Durables","Specialty Chemicals","https://www.nasdaq.com/symbol/ash",
"ACB","Aurora Cannabis Inc.","9.07","9189128908.23","n/a","n/a","Consumer Durables","Specialty Chemicals","https://www.nasdaq.com/symbol/acb",
"AN","AutoNation, Inc.","35.87","3230410447.32","n/a","n/a","Consumer Durables","Automotive Aftermarket","https://www.nasdaq.com/symbol/an",
"AVY","Avery Dennison Corporation","113.09","9496491529.03","n/a","n/a","Consumer Durables","Containers/Packaging","https://www.nasdaq.com/symbol/avy",
"AZZ","AZZ Inc.","41.34","1078444475.94","n/a","n/a","Consumer Durables","Building Products","https://www.nasdaq.com/symbol/azz",
"BLL","Ball Corporation","57.98","19375149407.38","n/a","n/a","Consumer Durables","Containers/Packaging","https://www.nasdaq.com/symbol/bll",
"BSET","Bassett Furniture Industries, Incorporated","16.3","171728747.8","n/a","n/a","Consumer Durables","Home Furnishings","https://www.nasdaq.com/symbol/bset",
"BMS","Bemis Company, Inc.","55.25","5039462392.25","n/a","n/a","Consumer Durables","Containers/Packaging","https://www.nasdaq.com/symbol/bms",
"BLNK","Blink Charging Co.","3.05","78444734.25","n/a","n/a","Consumer Durables","Electrical Products","https://www.nasdaq.com/symbol/blnk",
"BLNKW","Blink Charging Co.","1.2457","0","n/a","n/a","Consumer Durables","Electrical Products","https://www.nasdaq.com/symbol/blnkw",
"BRC","Brady Corporation","46.51","2449394268.2","n/a","n/a","Consumer Durables","Miscellaneous manufacturing industries","https://www.nasdaq.com/symbol/brc",
"CWH","Camping World Holdings, Inc.","13.57","504711656.15","n/a","2016","Consumer Durables","Automotive Aftermarket","https://www.nasdaq.com/symbol/cwh",
"CTST","CannTrust Holdings Inc.","7.72","815531528.28","n/a","n/a","Consumer Durables","Specialty Chemicals","https://www.nasdaq.com/symbol/ctst",
"CGC","Canopy Growth Corporation","43.15","14831065529.1","n/a","n/a","Consumer Durables","Specialty Chemicals","https://www.nasdaq.com/symbol/cgc",
"KMX","CarMax Inc","69.79","11688354105.96","n/a","n/a","Consumer Durables","Automotive Aftermarket","https://www.nasdaq.com/symbol/kmx",
"CVNA","Carvana Co.","62.82","2588267173.68","n/a","2017","Consumer Durables","Automotive Aftermarket","https://www.nasdaq.com/symbol/cvna",
"CASY","Caseys General Stores, Inc.","128.76","4716564682.92","n/a","1983","Consumer Durables","Automotive Aftermarket","https://www.nasdaq.com/symbol/casy",
"CENT","Central Garden & Pet Company","25.88","1498751250.44","n/a","1993","Consumer Durables","Consumer Specialties","https://www.nasdaq.com/symbol/cent",
"CENTA","Central Garden & Pet Company","23.53","1362659077.39","n/a","n/a","Consumer Durables","Consumer Specialties","https://www.nasdaq.com/symbol/centa",
"CTHR","Charles & Colvard Ltd.","1.18","25485721.42","n/a","1997","Consumer Durables","Consumer Specialties","https://www.nasdaq.com/symbol/cthr",
"CCF","Chase Corporation","89.87","845021188.22","n/a","n/a","Consumer Durables","Building Products","https://www.nasdaq.com/symbol/ccf",
"CJJD","China Jo-Jo Drugstores, Inc.","2.82","81601713.96","n/a","n/a","Consumer Durables","Specialty Chemicals","https://www.nasdaq.com/symbol/cjjd",
"CDXC","ChromaDex Corporation","4.12","227777957.44","n/a","n/a","Consumer Durables","Specialty Chemicals","https://www.nasdaq.com/symbol/cdxc",
"CLX","Clorox Company (The)","157.64","20203818517.96","n/a","n/a","Consumer Durables","Specialty Chemicals","https://www.nasdaq.com/symbol/clx",
"CMSS","CM Seven Star Acquisition Corporation","10.325","271785924.9","n/a","2017","Consumer Durables","Automotive Aftermarket","https://www.nasdaq.com/symbol/cmss",
"CMSSR","CM Seven Star Acquisition Corporation","0.34","0","n/a","2017","Consumer Durables","Automotive Aftermarket","https://www.nasdaq.com/symbol/cmssr",
"CMSSU","CM Seven Star Acquisition Corporation","10.99","0","n/a","2017","Consumer Durables","Automotive Aftermarket","https://www.nasdaq.com/symbol/cmssu",
