"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"AIG","American International Group, Inc.","43.55","37866129845.7","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/aig",
"AMNB","American National Bankshares, Inc.","34.4","301225973.6","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/amnb",
"ANAT","American National Insurance Company","121.34","3262280381.66","n/a","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/anat",
"ARL","American Realty Investors, Inc.","11.66","186525906.16","n/a","n/a","Finance","Real Estate","https://www.nasdaq.com/symbol/arl",
"AMRB","American River Bankshares","13.3","77932254.4","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/amrb",
"AMP","AMERIPRISE FINANCIAL SERVICES, INC.","136.12","18431018382.52","n/a","n/a","Finance","Investment Managers","https://www.nasdaq.com/symbol/amp",
"ABCB","Ameris Bancorp","35.07","1668816786.63","n/a","1994","Finance","Major Banks","https://www.nasdaq.com/symbol/abcb",
"AMSF","AMERISAFE, Inc.","57.9","1115731842","n/a","2005","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/amsf",
"ASRV","AmeriServ Financial Inc.","4.03","70955557.14","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/asrv",
"ASRVP","AmeriServ Financial Inc.","29.77","625170","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/asrvp",
"ATLO","Ames National Corporation","26.89","248539483.58","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/atlo",
"ANDA","Andina Acquisition Corp. III","9.76","135615200","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/anda",
"ANDAR","Andina Acquisition Corp. III","0.38","0","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/andar",
"ANDAU","Andina Acquisition Corp. III","10.18","0","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/andau",
"ANDAW","Andina Acquisition Corp. III","0.18","0","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/andaw",
"AON","Aon plc","173.14","41553503387.88","n/a","n/a","Finance","Specialty Insurers","https://www.nasdaq.com/symbol/aon",
"APO","Apollo Global Management, LLC","28.32","11462339658.24","n/a","2011","Finance","Investment Managers","https://www.nasdaq.com/symbol/apo",
"ACGL","Arch Capital Group Ltd.","32.42","13082076643.04","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/acgl",
"ACGLO","Arch Capital Group Ltd.","24.42","0","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/acglo",
"ACGLP","Arch Capital Group Ltd.","23.39","0","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/acglp",
"ARES","Ares Management Corporation","23.7","2441161169.7","n/a","2014","Finance","Investment Managers","https://www.nasdaq.com/symbol/ares",
"ARGD","Argo Group International Holdings, Ltd.","25.52","0","n/a","n/a","Finance","Specialty Insurers","https://www.nasdaq.com/symbol/argd",
"ARGO","Argo Group International Holdings, Ltd.","70.43","2392498859.69","n/a","n/a","Finance","Specialty Insurers","https://www.nasdaq.com/symbol/argo",
"AHH","Armada Hoffler Properties, Inc.","15.69","789759946.98","n/a","2013","Finance","Real Estate","https://www.nasdaq.com/symbol/ahh",
"AROW","Arrow Financial Corporation","33.36","482667625.44","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/arow",
"AJG","Arthur J. Gallagher & Co.","78.57","14553107271.81","n/a","n/a","Finance","Specialty Insurers","https://www.nasdaq.com/symbol/ajg",
"APAM","Artisan Partners Asset Management Inc.","25.76","1981848923.04","n/a","2013","Finance","Investment Managers","https://www.nasdaq.com/symbol/apam",
"ARYA","ARYA Sciences Acquisition Corp.","9.84","141450000","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/arya",
"ARYAU","ARYA Sciences Acquisition Corp.","10.45","0","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/aryau",
"ARYAW","ARYA Sciences Acquisition Corp.","1.45","0","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/aryaw",
"ASB","Associated Banc-Corp","22.08","3637656882.24","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/asb",
"AC","Associated Capital Group, Inc.","39.91","901373575.96","n/a","2015","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/ac",
"AIZ","Assurant, Inc.","95.45","5887645499.85","n/a","2004","Finance","Accident &Health Insurance","https://www.nasdaq.com/symbol/aiz",
"AIZP","Assurant, Inc.","103.89","298683750","n/a","n/a","Finance","Accident &Health Insurance","https://www.nasdaq.com/symbol/aizp",
"AGO","Assured Guaranty Ltd.","44.72","4592740288.24","n/a","2004","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/ago",
"ASFI","Asta Funding, Inc.","4.4027","29433876.6205","n/a","1995","Finance","Finance Companies","https://www.nasdaq.com/symbol/asfi",
"ATH","Athene Holding Ltd.","41.84","8205561471.84","n/a","2016","Finance","Life Insurance","https://www.nasdaq.com/symbol/ath",
"AAME","Atlantic American Corporation","2.59","52316223.26","n/a","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/aame",
"ACBI","Atlantic Capital Bancshares, Inc.","18.02","447292349.9","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/acbi",
"ATLC","Atlanticus Holdings Corporation","3.57","56963184.18","n/a","1995","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/atlc",
"AFH","Atlas Financial Holdings, Inc.","2.39","28529358.3","n/a","2013","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/afh",
"AFHBL","Atlas Financial Holdings, Inc.","16.21","0","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/afhbl",
"AUBN","Auburn National Bancorporation, Inc.","38.15","137090613.45","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/aubn",
"EQH","AXA Equitable Holdings, Inc.","20.65","10140207362.6","n/a","2018","Finance","Specialty Insurers","https://www.nasdaq.com/symbol/eqh",
"AXS","Axis Capital Holdings Limited","54.99","4615501075.38","n/a","2003","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/axs",
"AX","Axos Financial, Inc.","29.56","1809559651.32","n/a","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/ax",
"AXO","Axos Financial, Inc.","25.7","0","n/a","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/axo",
"BANC","Banc of California, Inc.","14.12","715281951.44","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/banc",
"BANF","BancFirst Corporation","53.41","1741849007.08","n/a","1993","Finance","Major Banks","https://www.nasdaq.com/symbol/banf",
"BANFP","BancFirst Corporation","26.907","26907000","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/banfp",
"BBVA","Banco Bilbao Viscaya Argentaria S.A.","6.01","40073998345.8","n/a","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/bbva",
"BBD","Banco Bradesco Sa","9.17","73945348059.8","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/bbd",
"BBDO","Banco Bradesco Sa","8.35","56110815093.25","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/bbdo",
"BCH","Banco De Chile","29.11","44109152520.3","n/a","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/bch",
"BLX","Banco Latinoamericano de Comercio Exterior, S.A.","19.93","616856120.55","n/a","1992","Finance","Commercial Banks","https://www.nasdaq.com/symbol/blx",
"BSBR","Banco Santander Brasil SA","11.45","85553220650","n/a","2009","Finance","Commercial Banks","https://www.nasdaq.com/symbol/bsbr",
"BSAC","Banco Santander Chile","30.16","14208837930.56","n/a","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/bsac",
"BSMX","Banco Santander Mexico, S.A., Institucion de Ban","6.86","9311756255.06","n/a","2012","Finance","Commercial Banks","https://www.nasdaq.com/symbol/bsmx",
"SAN","Banco Santander, S.A.","4.78","77610823442.76","n/a","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/san",
"CIB","BanColombia S.A.","51.75","12443636812.5","n/a","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/cib",
"BCTF","Bancorp 34, Inc.","15.16","50879309.8","n/a","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/bctf",
"BKJ","Bancorp of New Jersey, Inc","13.3","97001767.8","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/bkj",
"BFC","Bank First National Corporation","58","381522434","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/bfc",
