"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"STRL","Sterling Construction Company Inc","12.9","340867368.3","n/a","n/a","Basic Industries","Military/Government/Technical","https://www.nasdaq.com/symbol/strl",
"SUM","Summit Materials, Inc.","16.24","1813552240.64","n/a","2015","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","https://www.nasdaq.com/symbol/sum",
"SXCP","SunCoke Energy Partners, L.P.","12.88","595405666.24","n/a","2013","Basic Industries","Steel/Iron Ore","https://www.nasdaq.com/symbol/sxcp",
"SXC","SunCoke Energy, Inc.","8.8","572834143.2","n/a","2011","Basic Industries","Steel/Iron Ore","https://www.nasdaq.com/symbol/sxc",
"SUZ","Suzano Papel e Celulose S.A.","24.82","16743839807.8","n/a","n/a","Basic Industries","Paper","https://www.nasdaq.com/symbol/suz",
"SYNL","Synalloy Corporation","15.47","138686600.78","n/a","n/a","Basic Industries","Steel/Iron Ore","https://www.nasdaq.com/symbol/synl",
"SES","Synthesis Energy Systems, Inc.","0.628","6928171.36","n/a","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/ses",
"TANH","Tantech Holdings Ltd.","1.53","43915960.26","n/a","2015","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/tanh",
"TRX","Tanzanian Royalty Exploration Corporation","0.7608","102391760.5464","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/trx",
"TGB","Taseko Mines Limited","0.59","144981419.21","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/tgb",
"TECK","Teck Resources Ltd","23.56","13173686569.68","n/a","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","https://www.nasdaq.com/symbol/teck",
"TS","Tenaris S.A.","28.41","16769525670.15","n/a","n/a","Basic Industries","Steel/Iron Ore","https://www.nasdaq.com/symbol/ts",
"TX","Ternium S.A.","27.48","5509034973.12","n/a","n/a","Basic Industries","Steel/Iron Ore","https://www.nasdaq.com/symbol/tx",
"AES","The AES Corporation","18.01","11929897859.01","n/a","n/a","Basic Industries","Electric Utilities: Central","https://www.nasdaq.com/symbol/aes",
"TMST","TimkenSteel Corporation","11.31","506287003.95","n/a","2014","Basic Industries","Steel/Iron Ore","https://www.nasdaq.com/symbol/tmst",
"TWI","Titan International, Inc.","5.89","353084219.43","n/a","n/a","Basic Industries","Steel/Iron Ore","https://www.nasdaq.com/symbol/twi",
"BLD","TopBuild Corp.","64.98","2259055172.16","n/a","2015","Basic Industries","Engineering & Construction","https://www.nasdaq.com/symbol/bld",
"TREX","Trex Company, Inc.","65.61","3862215909.09","n/a","n/a","Basic Industries","Forest Products","https://www.nasdaq.com/symbol/trex",
"TMQ","Trilogy Metals Inc.","2.44","322183316.92","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/tmq",
"TSE","Trinseo S.A.","47.58","1964570063.82","n/a","2014","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/tse",
"TROX","Tronox Holdings plc","13.24","1248453341.16","n/a","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/trox",
"TRQ","Turquoise Hill Resources Ltd.","1.69","3400811452.61","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/trq",
"TPC","Tutor Perini Corporation","17.76","889837183.2","n/a","n/a","Basic Industries","General Bldg Contractors - Nonresidential Bldgs","https://www.nasdaq.com/symbol/tpc",
"SLCA","U.S. Silica Holdings, Inc.","16.35","1201223905.2","n/a","2012","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","https://www.nasdaq.com/symbol/slca",
"UN","Unilever NV","57.94","151468777348.5","n/a","n/a","Basic Industries","Package Goods/Cosmetics","https://www.nasdaq.com/symbol/un",
"UL","Unilever PLC","57.54","151286783423.16","n/a","n/a","Basic Industries","Package Goods/Cosmetics","https://www.nasdaq.com/symbol/ul",
"USLM","United States Lime & Minerals, Inc.","77.4","434212529.4","n/a","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","https://www.nasdaq.com/symbol/uslm",
"X","United States Steel Corporation","19.93","3454756821.71","n/a","n/a","Basic Industries","Steel/Iron Ore","https://www.nasdaq.com/symbol/x",
"UFPI","Universal Forest Products, Inc.","29.77","1825797106.77","n/a","1993","Basic Industries","Forest Products","https://www.nasdaq.com/symbol/ufpi",
"USAP","Universal Stainless & Alloy Products, Inc.","16.96","148683859.52","n/a","1994","Basic Industries","Steel/Iron Ore","https://www.nasdaq.com/symbol/usap",
"URG","Ur Energy Inc","0.904","144395380.312","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/urg",
"UEC","Uranium Energy Corp.","1.52","274016350.8","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/uec",
"MYT","Urban Tea, Inc.","2.1","48584159.4","n/a","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/myt",
"VALE","VALE S.A.","13.47","69075754821.06","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/vale",
"VHI","Valhi, Inc.","2.23","756351216.27","n/a","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/vhi",
"VVV","Valvoline Inc.","18.77","3532149430.29","n/a","2016","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/vvv",
"VNTR","Venator Materials PLC","5.79","616758350.16","n/a","2017","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/vntr",
"VRS","Verso Corporation","21.75","750029022.75","n/a","2016","Basic Industries","Paper","https://www.nasdaq.com/symbol/vrs",
"VSM","Versum Materials, Inc.","50.37","5497580962.98","n/a","2016","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/vsm",
"VGZ","Vista Gold Corporation","0.6765","67949395.899","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/vgz",
"VMC","Vulcan Materials Company","120.57","15923441653.68","n/a","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","https://www.nasdaq.com/symbol/vmc",
"GRA","W.R. Grace & Co.","78.32","5236298431.76","n/a","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/gra",
"WDFC","WD-40 Company","170.57","2358017503.23","n/a","1973","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/wdfc",
"WST","West Pharmaceutical Services, Inc.","111.27","8204769288.33","n/a","n/a","Basic Industries","Specialty Chemicals","https://www.nasdaq.com/symbol/wst",
"WRN","Western Copper and Gold Corporation","0.583","58786222.583","n/a","2011","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/wrn",
"WLK","Westlake Chemical Corporation","70.59","9069004084.14","n/a","2004","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/wlk",
"WLKP","Westlake Chemical Partners LP","22.78","801586945.42","n/a","2014","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/wlkp",
"WWR","Westwater Resources, Inc.","0.138","10267161.636","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/wwr",
"WPM","Wheaton Precious Metals Corp.","23.61","10490781483.21","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/wpm",
"XIN","Xinyuan Real Estate Co Ltd","5.01","322760778.09","n/a","2007","Basic Industries","Homebuilding","https://www.nasdaq.com/symbol/xin",
"AUY","Yamana Gold Inc.","2.52","2393299623.96","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/auy",
"YTEN","Yield10 Bioscience, Inc.","1.23","15335909.37","n/a","n/a","Basic Industries","Containers/Packaging","https://www.nasdaq.com/symbol/yten",
